Category	Value	Population	Cancer	Count	Prop
Gender	Female	31892	All	1573.0	4.932271416029098
Gender	Male	25524	All	1209.0	4.736718382698637
Ethnicity	Bangladeshi	33353	All	1457.0	4.368422630647918
Ethnicity	Pakistani	24063	All	1325.0	5.506379088226738
BirthCountry	Unknown	36260	All	1756.0	4.842801985659128
BirthCountry	Bangladesh	14054	All	675.0	4.8029030880888
BirthCountry	Pakistan	4297	All	255.0	5.934372818245287
BirthCountry	Great Britain	2369	All	72.0	3.0392570704938793
BirthCountry	Other	351	All	14.0	3.988603988603989
BirthCountry	India	85	All	10.0	11.764705882352942
Region	London	50174	All	2473.0	4.9288476103161
Region	Bradford 	5239	All	242.0	4.61920213781256
Region	Manchester	1562	All	57.0	3.649167733674776
Region		441	All	10.0	2.2675736961451247
Smoking	Not known	24612	All	984.0	3.998049731838128
Smoking	Former Smoker	13761	All	929.0	6.75096286607078
Smoking	Non-Smoker	11964	All	450.0	3.761283851554664
Smoking	Current Smoker	7079	All	419.0	5.918915101002966
Alcohol	Not known	27632	All	1151.0	4.165460335842502
Alcohol	Non-Drinker	20319	All	1056.0	5.197106156799055
Alcohol	Former Drinker	7325	All	475.0	6.484641638225256
Alcohol	Current Drinker	2140	All	100.0	4.672897196261682
Overweight	Current Overweight	22924	All	1401.0	6.111498865817484
Overweight	Not known	22422	All	787.0	3.50994558915351
Overweight	Never Overweight	10009	All	429.0	4.286142471775402
Overweight	Former Overweight	2061	All	165.0	8.005822416302765
Gender	Female	31892	Digestive	232.0	0.7274551611689452
Gender	Male	25524	Digestive	302.0	1.1832001253721987
Ethnicity	Bangladeshi	33353	Digestive	322.0	0.9654303960663209
Ethnicity	Pakistani	24063	Digestive	212.0	0.8810206541162781
BirthCountry	Unknown	36260	Digestive	318.0	0.8769994484280199
BirthCountry	Bangladesh	14054	Digestive	168.0	1.1953892130354347
BirthCountry	Pakistan	4297	Digestive	40.0	0.9308820107051431
BirthCountry	Great Britain	2369	Digestive	6.0	0.2532714225411566
BirthCountry	Other	351	Digestive	1.0	0.2849002849002849
BirthCountry	India	85	Digestive	1.0	1.1764705882352942
Region	London	50174	Digestive	490.0	0.9766014270339219
Region	Bradford 	5239	Digestive	38.0	0.7253292613094102
Region	Manchester	1562	Digestive	6.0	0.38412291933418696
Region		441	Digestive		
Smoking	Not known	24612	Digestive	147.0	0.5972696245733788
Smoking	Former Smoker	13761	Digestive	234.0	1.7004578155657293
Smoking	Non-Smoker	11964	Digestive	63.0	0.526579739217653
Smoking	Current Smoker	7079	Digestive	90.0	1.2713660121486086
Alcohol	Not known	27632	Digestive	176.0	0.6369426751592356
Alcohol	Non-Drinker	20319	Digestive	223.0	1.0974949554604065
