cancer,morbidity,cancer_size,morbid_size,pre_diag,post_diag,total,pre_diag_perc,post_diag_perc,total_perc
Digestive,ADHD_and_hyperkinetic_disorders,534,110,0,0,0,0.0,0.0,0.0
Digestive,Adrenal_insufficiency_and_Addisons_disease,534,106,2,2,4,0.003745318352059925,0.003745318352059925,0.00749063670411985
Digestive,Alcohol_dependence_and_related_disease,534,4747,34,20,54,0.06367041198501873,0.03745318352059925,0.10112359550561797
Digestive,Allergic_and_chronic_rhinitis,534,14429,149,25,174,0.27902621722846443,0.04681647940074907,0.3258426966292135
Digestive,Alopecia_areata_and_scarring_alopecia,534,834,5,1,6,0.009363295880149813,0.0018726591760299626,0.011235955056179775
Digestive,Ankylosing_spondylitis,534,153,1,0,1,0.0018726591760299626,0.0,0.0018726591760299626
Digestive,Anxiety_and_phobia,534,9345,94,39,133,0.1760299625468165,0.07303370786516854,0.24906367041198502
Digestive,Aortic_aneurysm,534,281,7,9,16,0.013108614232209739,0.016853932584269662,0.0299625468164794
Digestive,Aplastic_anaemias,534,122,4,5,9,0.00749063670411985,0.009363295880149813,0.016853932584269662
Digestive,Asbestosis,534,7,0,0,0,0.0,0.0,0.0
Digestive,Asthma,534,8275,114,21,135,0.21348314606741572,0.03932584269662921,0.25280898876404495
Digestive,Atrial_fibrillation_and_flutter,534,838,19,15,34,0.035580524344569285,0.028089887640449437,0.06367041198501873
Digestive,Autism_and_Aspergers_syndrome,534,59,1,1,2,0.0018726591760299626,0.0018726591760299626,0.003745318352059925
Digestive,Autoimmune_liver_disease,534,60,4,0,4,0.00749063670411985,0.0,0.00749063670411985
Digestive,Barretts_oesophagus,534,134,5,2,7,0.009363295880149813,0.003745318352059925,0.013108614232209739
Digestive,Bipolar_affective_disorder_and_mania,534,354,7,2,9,0.013108614232209739,0.003745318352059925,0.016853932584269662
Digestive,Blistering_autoimmune_skin_conditions,534,59,2,1,3,0.003745318352059925,0.0018726591760299626,0.0056179775280898875
Digestive,Bronchiectasis,534,410,10,5,15,0.018726591760299626,0.009363295880149813,0.028089887640449437
Digestive,COPD,534,1288,39,19,58,0.07303370786516854,0.035580524344569285,0.10861423220973783
