Cancer	Morbidity	Cohort	Positive	OR	Lower_CI	Upper_CI	pvalue
Digestive	Gastrointestinal polyp	534|54634	133|1066	2.525141245563918	2.226271016741317	2.8641339091686158	4.311485e-47
Digestive	Liver fibrosis, sclerosis and cirrhosis	534|54634	41|131	4.18970363529799	3.2798014269520532	5.352036378599273	1.905033e-30
Cervical	Cervical dysplasia	137|30319	27|196	6.0106325945219945	4.412311933288274	8.187930665954989	5.791766e-30
Cervical	Polycystic ovarian syndrome	137|30319	27|196	6.0106325945219945	4.412311933288274	8.187930665954989	5.791766e-30
Colorectal	Gastrointestinal polyp	241|54634	68|1066	2.8263326842553416	2.356378041599174	3.3900148028322223	4.171747e-29
All	Gastrointestinal polyp	2782|54634	247|1066	1.5797758975730853	1.4537751314104657	1.716697330027585	4.141629e-27
Solid	Gastrointestinal polyp	2312|54634	218|1066	1.610577805474012	1.4748577729146943	1.7587871285779364	2.6423889999999997e-26
Digestive	Other anaemias	534|54634	167|5077	1.7209560854084902	1.5480333455677995	1.9131951235961286	9.360945e-24
Digestive	Gastritis and duodenitis	534|54634	224|6346	1.634763262029788	1.4841115286528466	1.8007076094261618	2.1906480000000006e-23
Digestive	Iron deficiency	534|54634	161|5670	1.7212917045669494	1.5456560684666645	1.916885129012059	4.600621000000001e-23
All	Hypertension	2782|54634	1172|9327	1.2811536998664477	1.2192987519445675	1.3461465453514283	9.869485e-23
Endocrine	Thyroid disease	164|54634	53|2967	2.7048514663109073	2.2172935266535103	3.299617920161613	9.964795000000001e-23
Thyroid	Thyroid disease	121|54634	46|2967	3.0251782035133163	2.422015779064358	3.7785481176953457	1.720778e-22
All	Other anaemias	2782|54634	555|5077	1.2934305116266211	1.2255003333531653	1.3651260981946935	8.946946e-21
Secondary	Psychoactive substance misuse	479|54634	101|2298	1.9092089615202072	1.6670595266844388	2.186531914669327	9.144074e-21
Digestive	Chronic kidney disease	534|54634	27|68	4.163058414739785	3.0767050641780735	5.6329921142979735	2.362657e-20
Digestive	Portal hypertension	534|54634	27|68	4.163058414739785	3.0767050641780735	5.6329921142979735	2.362657e-20
Solid	Hypertension	2312|54634	1005|9327	1.2756846310175993	1.2095578601532357	1.3454265657108302	3.083322e-19
Endocrine	Non-malignant CNS tumour	164|54634	14|89	7.140979844077693	4.6372375808830935	10.996545301828785	4.469405e-19
Gynaecological	Cervical dysplasia	361|30319	28|196	3.342269275208742	2.560663488226791	4.362449013454674	6.789357999999999e-19
Gynaecological	Polycystic ovarian syndrome	361|30319	28|196	3.342269275208742	2.560663488226791	4.362449013454674	6.789357999999999e-19
Haematopoietic	Thrombocytopenia	515|54634	31|247	3.3248015895115506	2.5472856977370277	4.339641061636322	9.586479e-19
All	Iron deficiency	2782|54634	550|5670	1.2713216135881564	1.2048012119529143	1.3415147902752607	2.042265e-18
All	Liver fibrosis, sclerosis and cirrhosis	2782|54634	55|131	2.277480982608273	1.8850244280618313	2.7516458401950246	1.4671940000000002e-17
All	Cardiovascular disease	2782|54634	673|4464	1.2636116378780884	1.1961573231823124	1.3348698707398894	6.309645e-17
All	Thrombocytopenia	2782|54634	66|247	2.0054590757273614	1.7002330739703428	2.3654792781000777	1.447767e-16
All	Non-malignant CNS tumour	2782|54634	42|89	2.5325482265003574	2.0299846673589013	3.1595315091195935	1.815282e-16
All	Gastritis and duodenitis	2782|54634	683|6346	1.2323192955513658	1.172298111314096	1.2954135398938043	2.404565e-16
Solid	Other anaemias	2312|54634	465|5077	1.2727959295393638	1.2008818188905117	1.3490165749604663	4.327264e-16
Solid	Liver fibrosis, sclerosis and cirrhosis	2312|54634	48|131	2.295248232562532	1.8772017552989715	2.8063922453782255	5.523473e-16
Solid	Non-malignant CNS tumour	2312|54634	36|89	2.5118662430630647	1.9845785217866854	3.1792503817684348	1.837427e-14
Secondary	Other anaemias	479|54634	140|5077	1.5219143755417046	1.3624474854180113	1.70004597701603	1.032349e-13
Secondary	Cardiovascular disease	479|54634	180|4464	1.511600464827355	1.3544829299630523	1.6869433454791523	1.597876e-13
Secondary	Obesity	479|54634	137|5337	1.513640989879109	1.353862290999771	1.6922762835430771	3.267465e-13
Solid	Gastritis and duodenitis	2312|54634	579|6346	1.2210400554050216	1.157128123772805	1.2884820498894334	3.324068e-13
Solid	Cardiovascular disease	2312|54634	562|4464	1.2438930276692395	1.1727140414252415	1.3193922897040566	3.888152e-13
Solid	Iron deficiency	2312|54634	453|5670	1.2358265284065608	1.166099039665562	1.3097234080146685	8.935552e-13
Haematopoietic	Aplastic anaemias	515|54634	13|45	5.155891286489412	3.287024933034558	8.087317711203369	9.249824e-13
Solid	Psychoactive substance misuse	2312|54634	246|2298	1.3304949288945893	1.2301885668300494	1.4389800096872252	9.313552e-13
All	Obesity	2782|54634	517|5337	1.2149707470492581	1.1507330660153159	1.2827943854059594	2.127246e-12
Solid	Hyperplasia of prostate	962|24315	189|776	1.4511291826183514	1.3079320471954035	1.6100040588209579	2.150798e-12
Digestive	Cholelithiasis	534|54634	74|1625	1.6816172850188866	1.454587093772121	1.944082073450122	2.155635e-12
All	Peripheral arterial disease	2782|54634	94|323	1.6068488096967255	1.4066988017994555	1.8354768582449381	2.792949e-12
Solid	Peripheral arterial disease	2312|54634	83|323	1.6521971364982178	1.4350707397649132	1.9021747863802776	2.848806e-12
Male genital	Hyperplasia of prostate	222|24315	76|776	1.8121445895596286	1.5336560130801609	2.1412024505253866	2.879189e-12
Colorectal	Iron deficiency	241|54634	74|5670	1.7522645850917842	1.4948869840022319	2.0539553886183937	4.500184e-12
All	Chronic kidney disease	2782|54634	35|68	2.314111933729948	1.820244950100748	2.941974398300055	7.359075e-12
All	Portal hypertension	2782|54634	35|68	2.314111933729948	1.820244950100748	2.941974398300055	7.359075e-12
All	Hyperplasia of prostate	1209|24315	216|776	1.4052229872793407	1.2739152854476055	1.550065115424419	1.068866e-11
All	Psychoactive substance misuse	2782|54634	282|2298	1.2860712131730274	1.1955490309515562	1.3834473723222502	1.415578e-11
Haematopoietic	Other anaemias	515|54634	112|5077	1.5144646345886519	1.34180238284214	1.7093449517965091	1.809341e-11
Secondary	Cholelithiasis	479|54634	72|1625	1.6527308823686242	1.4268891000176098	1.9143179168593136	2.053896e-11
Respiratory	Psychoactive substance misuse	149|54634	50|2298	1.99098004016167	1.6270021667800052	2.4363836762229436	2.302054e-11
Colorectal	Other anaemias	241|54634	74|5077	1.7109093281114889	1.4615009155289542	2.0028798462705546	2.383199e-11
Solid	Chronic kidney disease	2312|54634	31|68	2.3501261322180853	1.8242847638529265	3.0275387630105803	3.785664e-11
Solid	Portal hypertension	2312|54634	31|68	2.3501261322180853	1.8242847638529265	3.0275387630105803	3.785664e-11
Digestive	Constipation	534|54634	174|7662	1.3910933212289318	1.2594023058721977	1.5365547762972855	7.750275e-11
Digestive	Chronic viral hepatitis	534|54634	31|616	2.126596894666838	1.693375645313562	2.67065040466507	8.472364e-11
Lung	Psychoactive substance misuse	130|54634	47|2298	2.008678413303334	1.6270637337068352	2.479797739009644	8.690933e-11
Secondary	Venous thromboembolism	479|54634	29|391	2.2166543287351055	1.739970988827854	2.8239300796676727	1.167699e-10
Haematopoietic	Iron deficiency	515|54634	109|5670	1.4893562803555913	1.3185465085196741	1.6822934310637137	1.460864e-10
Digestive	Cardiovascular disease	534|54634	195|4464	1.4013737422782444	1.2636081907502423	1.554159255948583	1.642258e-10
Prostate	Hyperplasia of prostate	196|24315	70|776	0.00016034384778118197	1.097165751314661e-05	0.0023433241049010223	1.704661e-10
Secondary	Peripheral arterial disease	479|54634	33|323	2.0729091352420714	1.6545636525204679	2.597030507967645	2.323522e-10
