ADHD_and_hyperkinetic_disorders,ADHD and hyperkinetic disorders
Adrenal_insufficiency_and_Addisons_disease,Adrenal insufficiency
Alcohol_dependence_and_related_disease,Alcohol dependence
Allergic_and_chronic_rhinitis,Alllergic and chronic rhinitis
Alopecia_areata_and_scarring_alopecia,Alopecia
Ankylosing_spondylitis,Ankylosing spondylitis
Anxiety_and_phobia,Anxiety and phobia
Aortic_aneurysm,Aortic aneurysm
Aplastic_anaemias,Aplastic anaemias
Asbestosis,Asbestosis
Asthma,Asthma
Atrial_fibrillation_and_flutter,Atrial fibrillation and flutter
Autism_and_Aspergers_syndrome,Autism spectrum
Autoimmune_liver_disease,Autoimmune liver disease
Barretts_oesophagus,Barretts oesophagus
Bipolar_affective_disorder_and_mania,Bipolar disorder
Blistering_autoimmune_skin_conditions,Autoimmune skin conditions
Bronchiectasis,Bronchiectasis
Cardiac_conduction_defects,Cardiac conduction defects
Cardiomyopathy_other,Cardiomyopathy
Cardiovascular_disease,Cardiovascular disease
Cerebral_Palsy,Cerebral palsy
Cerebrovascular_disease,Cerebrovascular disease
Cervical_dysplasia,Cervical dysplasia
Cholelithiasis,Cholelithiasis
Chronic_fatigue,Chronic fatigue
Chronic_Kidney_Disease,Chronic kidney disease
Chronic_sinusitis,Chronic sinusitis
Chronic_ulcer_of_the_skin,Chronic ulcer of skin
Chronic_viral_hepatitis,Chronic viral hepatitis
Coeliac_disease,Coeliac disease
Collapsed_vertebra,Collapsed vertebra
Congenital_cardiac_disease,Congenital cardiac disease
Constipation,Constipation
COPD,COPD
Coronary_heart_disease,Coronary heart disease
Crohns_disease,Crohns disease
Cystic_Fibrosis,Cystic fibrosis
Cystic_renal_disease,Cystic renal disease
Dementia,Dementia
Depression,Depression
Dermatitis_atopc_contact_other_unspecified,Dermatitis
Diabetic_eye_disease,Diabetic eye
Diabetic_neurological_complications,Diabetic neuropathy
Disorders_of_autonomic_nervous_system,Autonomic neuropathy
Diverticular_disease_of_intestine,Diverticular disease
Downs_syndrome,Downs syndrome
Dysmenorrhoea,Dysmenorrhoea
Eating_disorders,Eating disorders
End_stage_renal_disease,End stage renal disease
