"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"BRCA1.M1",NA,-12.0614105413112,315.012679106889,5.7782450768084e-06,0.969457539316124,"logistic",43462,232,43230,0.215740603246199,0.00131149049744604,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"BRCA1.M1",NA,-0.547975992478094,1.02999184538568,0.578118743702322,0.594712324539784,"logistic",43462,680,42782,0.215740603246199,0.00131149049744604,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"BRCA1.M1",NA,-12.4251934701114,206.871443062642,4.0161233150343e-06,0.952105943608991,"logistic",43462,808,42654,0.215740603246199,0.00131149049744604,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"BRCA1.M1",NA,-12.1642882542134,347.44650538744,5.21334822942162e-06,0.972071339811734,"logistic",43462,233,43229,0.215740603246199,0.00131149049744604,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"BRCA1.M1",NA,-0.181212967940523,0.320990948775091,0.834257669637656,0.57238512211792,"logistic",43462,6519,36943,0.215740603246199,0.00131149049744604,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"BRCA1.M1",NA,-0.479676438648718,0.434155647058799,0.618983638590858,0.269225018127395,"logistic",43462,4094,39368,0.215740603246199,0.00131149049744604,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"BRCA1.M1",NA,-1.23559049716481,1.02327870456045,0.290663075960401,0.227246617987285,"logistic",43462,1360,42102,0.215740603246199,0.00131149049744604,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"BRCA1.M1",NA,-1.13865851966267,1.0185950711466,0.320248340642575,0.263621828616926,"logistic",43462,1313,42149,0.215740603246199,0.00131149049744604,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"BRCA1.M1",NA,0.191759278201318,0.253330684701392,1.21137887656216,0.44907836052142,"logistic",43462,12224,31238,0.215740603246199,0.00131149049744604,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"BRCA1.M1",NA,-11.3380260634558,341.417196118624,1.19112638507451e-05,0.973508149089304,"logistic",43462,122,43340,0.215740603246199,0.00131149049744604,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"BRCA1.M1",NA,-11.4471132968865,347.469607595538,1.06802608893747e-05,0.973719073815722,"logistic",43462,123,43339,0.215740603246199,0.00131149049744604,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
