"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"CYP4A22.M3",NA,0.501534912213184,0.259314936344345,1.6512538562657,0.0531037286090147,"logistic",43462,232,43230,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"CYP4A22.M3",NA,0.20424859047308,0.185347094955666,1.22660303738837,0.270470838629498,"logistic",43462,680,42782,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"CYP4A22.M3",NA,-0.134124910612645,0.184247205327122,0.874480825845234,0.466637025848501,"logistic",43462,808,42654,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"CYP4A22.M3",NA,0.31322623829829,0.270162634677334,1.36783095177175,0.246293659892938,"logistic",43462,233,43229,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"CYP4A22.M3",NA,0.125865234352266,0.0705574934906886,1.13412931631173,0.074445163880523,"logistic",43462,6519,36943,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"CYP4A22.M3",NA,0.0957558724150147,0.0876070558894087,1.10049037114104,0.27438698223231,"logistic",43462,4094,39368,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"CYP4A22.M3",NA,0.0748462529641896,0.135671861695602,1.07771844213043,0.581173674415944,"logistic",43462,1360,42102,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"CYP4A22.M3",NA,0.185803046600357,0.130161823807104,1.20418506867747,0.153442368596367,"logistic",43462,1313,42149,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"CYP4A22.M3",NA,-0.0164296300055696,0.0614122623957221,0.983704600242349,0.789061025641113,"logistic",43462,12224,31238,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"CYP4A22.M3",NA,-0.267838986311165,0.458951922983489,0.765030951642123,0.559497313489595,"logistic",43462,122,43340,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"CYP4A22.M3",NA,-0.465384724942386,0.510574601529567,0.627893492427694,0.362036136730593,"logistic",43462,123,43339,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"CYP4A22.M3",NA,-0.408432362699012,0.222348415063294,0.664691428905357,0.0662242880495683,"logistic",43462,691,42771,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"CYP4A22.M3",NA,-0.073948488346986,0.188889078628724,0.928719532487458,0.695433893595615,"logistic",43462,712,42750,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"CYP4A22.M3",NA,-0.129058483789609,0.110873269039554,0.878922561320282,0.244416706631197,"logistic",43462,2200,41262,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"CYP4A22.M3",NA,-0.151731706034093,0.388397384909803,0.859218773032094,0.696047839006229,"logistic",43462,167,43295,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"CYP4A22.M3",NA,-0.0332516155119189,0.458333460249458,0.967295142504101,0.942165044272274,"logistic",43462,131,43331,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"CYP4A22.M3",NA,0.357039150342689,0.279209705330664,1.42909181819309,0.200985434715205,"logistic",43462,211,43251,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"CYP4A22.M3",NA,-0.600533187895745,0.586646417814089,0.548519094369401,0.305990485748324,"logistic",43462,109,43353,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"CYP4A22.M3",NA,0.354565582019328,0.371179791101824,1.42556123031577,0.339456616567006,"logistic",43462,121,43341,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"CYP4A22.M3",NA,0.203414240213254,0.267434302162078,1.22558004765064,0.446887731365206,"logistic",43462,276,43186,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"CYP4A22.M3",NA,-0.0280017246895945,0.172379834069414,0.972386689734595,0.870957800251397,"logistic",43462,843,42619,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
747,"CYP4A22.M3",NA,0.160651523554762,0.207637766918637,1.1742756900878,0.439102000508626,"logistic",43462,442,43020,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Congenital cardiac disease",15,"Congenital anomalies","mediumspringgreen",NA,"22"
751.21,"CYP4A22.M3",NA,0.7013966394574,0.425610726108847,2.01656715888864,0.09935741420294,"logistic",43462,71,43391,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Cystic renal disease",15,"Congenital anomalies","mediumspringgreen",NA,"23"
704.1,"CYP4A22.M3",NA,-0.241205062048173,0.193991681776096,0.785680496616264,0.213728435248887,"logistic",43462,703,42759,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Alopecia",13,"Dermatologic","firebrick",NA,"24"
707,"CYP4A22.M3",NA,0.019824340459366,0.16678850125938,1.0200221476669,0.905386941239322,"logistic",43462,912,42550,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Chronic ulcer of skin",13,"Dermatologic","firebrick",NA,"25"
685,"CYP4A22.M3",NA,0.0272025138539468,0.0490250621176416,1.0275758800452,0.578983895109097,"logistic",43462,12421,31041,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Dermatitis",13,"Dermatologic","firebrick",NA,"26"
705.3,"CYP4A22.M3",NA,-0.0136921541538181,0.323217560929024,0.98640115702636,0.96621009155093,"logistic",43462,219,43243,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Hidradenitis suppurativa",13,"Dermatologic","firebrick",NA,"27"
695.7,"CYP4A22.M3",NA,0.143095750921992,0.173571955486639,1.15384027764725,0.409702396579545,"logistic",43462,658,42804,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Lichen planus",13,"Dermatologic","firebrick",NA,"28"
696.4,"CYP4A22.M3",NA,-0.0848918622950595,0.124637512363215,0.918611615582478,0.495801858255855,"logistic",43462,1493,41969,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Psoriasis",13,"Dermatologic","firebrick",NA,"29"
695.3,"CYP4A22.M3",NA,0.120910134857879,0.183101953696214,1.1285234928863,0.509033596457141,"logistic",43462,607,42855,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Rosacea",13,"Dermatologic","firebrick",NA,"30"
690.1,"CYP4A22.M3",NA,0.0640794755405252,0.0839718413719625,1.06617713039815,0.445399759090135,"logistic",43462,2953,40509,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Seborrheic dermatitis",13,"Dermatologic","firebrick",NA,"31"
686,"CYP4A22.M3",NA,0.154851329427093,0.0794373882982024,1.16748437763078,0.0512535563217986,"logistic",43462,3119,40343,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Urticaria",13,"Dermatologic","firebrick",NA,"32"
694.1,"CYP4A22.M3",NA,0.0166962500912868,0.185818044802882,1.01683641144464,0.928404281559438,"logistic",43462,564,42898,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Vitiligo",13,"Dermatologic","firebrick",NA,"33"
530.13,"CYP4A22.M3",NA,0.177985049483815,0.461026873368595,1.19480745811303,0.699450603005552,"logistic",43462,106,43356,0.957676411466318,0.0239289494270857,0,"",FALSE,FALSE,FALSE,"Barretts oesophagus",10,"Digestive","chartreuse4",NA,"34"
