"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"FAAH.M3",NA,-0.120548875856521,0.724407884559167,0.886433761077261,0.867834131242618,"logistic",43462,232,43230,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"FAAH.M3",NA,-0.0659710100262629,0.420836473962394,0.936158003094164,0.87543271671321,"logistic",43462,680,42782,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"FAAH.M3",NA,-0.0566062401457131,0.386984482046161,0.944966085827404,0.883704127217245,"logistic",43462,808,42654,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"FAAH.M3",NA,-0.0484398554242795,0.710842379560515,0.952714638200406,0.945670767045847,"logistic",43462,233,43229,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"FAAH.M3",NA,0.0814063618577783,0.149456186483417,1.084811633082,0.585971016517692,"logistic",43462,6519,36943,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"FAAH.M3",NA,0.00154961276763072,0.18881134434721,1.00155081403792,0.993451674069037,"logistic",43462,4094,39368,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"FAAH.M3",NA,0.123424553568143,0.283815105110516,1.13136464389653,0.663651986055412,"logistic",43462,1360,42102,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"FAAH.M3",NA,0.212224384824784,0.272444454630543,1.23642528902656,0.43600100225421,"logistic",43462,1313,42149,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"FAAH.M3",NA,0.227570758416234,0.129396472867081,1.25554627707717,0.0786269255986702,"logistic",43462,12224,31238,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"FAAH.M3",NA,-13.4293027816693,478.749607724514,1.47139035909355e-06,0.977621645712992,"logistic",43462,122,43340,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"FAAH.M3",NA,-12.483740086118,292.704541483577,3.78774354790849e-06,0.965980833275211,"logistic",43462,123,43339,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"FAAH.M3",NA,-0.509317404282795,0.507708948674262,0.600905614450928,0.315779777838895,"logistic",43462,691,42771,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"FAAH.M3",NA,-0.280680461268523,0.454226647950406,0.755269634826947,0.536621208600143,"logistic",43462,712,42750,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"FAAH.M3",NA,0.0825476709525085,0.212011023604649,1.08605044526424,0.697013140945527,"logistic",43462,2200,41262,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"FAAH.M3",NA,-0.509367789807032,1.00439002451529,0.600875338269274,0.612055589747577,"logistic",43462,167,43295,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"FAAH.M3",NA,-0.221420385540455,0.999098129238478,0.801379721021624,0.824609510729413,"logistic",43462,131,43331,0.999905810615033,0.00488932860889973,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"FAAH.M3",NA,1.08111494363857,0.411837650399139,2.94796453374358,0.0086623566977698,"logistic",43462,211,43251,0.999905810615033,0.00488932860889973,0,"",TRUE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
