"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"FAM166C.M3",NA,-11.1499261985558,236.250142863972,1.43763480461273e-05,0.962357472770681,"logistic",43462,232,43230,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"FAM166C.M3",NA,-10.8409740879226,153.431515013361,1.95805449765356e-05,0.943670933459968,"logistic",43462,680,42782,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"FAM166C.M3",NA,-11.295869791001,155.795168280874,1.24241327029048e-05,0.94220032730069,"logistic",43462,808,42654,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"FAM166C.M3",NA,0.899388186366939,1.01897214286869,2.45809875268206,0.377429422852766,"logistic",43462,233,43229,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"FAM166C.M3",NA,0.239383081701897,0.348486419028532,1.27046513532059,0.492131712928631,"logistic",43462,6519,36943,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"FAM166C.M3",NA,0.22414797783994,0.430666473693867,1.25125616391373,0.602737652952317,"logistic",43462,4094,39368,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"FAM166C.M3",NA,0.491664614018628,0.61719296343965,1.63503565919834,0.42567518885888,"logistic",43462,1360,42102,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"FAM166C.M3",NA,0.537318068218859,0.610950417514411,1.71141081474222,0.379141609210618,"logistic",43462,1313,42149,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"FAM166C.M3",NA,0.490216411314115,0.30070145344416,1.63266950988018,0.103050169032688,"logistic",43462,12224,31238,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"FAM166C.M3",NA,1.43486631521053,1.02607737502973,4.19908361765462,0.16199306684061,"logistic",43462,122,43340,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"FAM166C.M3",NA,1.56652232666744,1.02418094592902,4.78996127417825,0.126131452428904,"logistic",43462,123,43339,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"FAM166C.M3",NA,1.80039558407973,0.495231630002145,6.05204108204512,0.000277483304894544,"logistic",43462,691,42771,0.144758792103584,0.000874326998297363,0,"",TRUE,FALSE,TRUE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"FAM166C.M3",NA,1.39813248352142,0.535236119377135,4.04763388117644,0.00899671684718527,"logistic",43462,712,42750,0.144758792103584,0.000874326998297363,0,"",TRUE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"FAM166C.M3",NA,-1.19465249237998,1.00887028983133,0.302809164392448,0.236354185374575,"logistic",43462,2200,41262,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"FAM166C.M3",NA,-11.7248292120909,417.083572792489,8.09042566495418e-06,0.977573251941655,"logistic",43462,167,43295,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"FAM166C.M3",NA,-11.1753292633029,423.078667496801,1.40157443570411e-05,0.978926883823698,"logistic",43462,131,43331,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"FAM166C.M3",NA,1.19576640806007,1.01640967753466,3.30609061427585,0.239410683675968,"logistic",43462,211,43251,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"FAM166C.M3",NA,-11.4629413805662,445.601490825298,1.05125436490314e-05,0.97947696431256,"logistic",43462,109,43353,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"FAM166C.M3",NA,-11.4186866772062,434.975625736241,1.09882209986474e-05,0.979056878247505,"logistic",43462,121,43341,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"FAM166C.M3",NA,-11.1702807128602,267.29577240425,1.40866824660598e-05,0.966666135572945,"logistic",43462,276,43186,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"FAM166C.M3",NA,-11.3873359253034,164.041179002881,1.13381668598388e-05,0.944657263716056,"logistic",43462,843,42619,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
747,"FAM166C.M3",NA,1.03327899163423,0.721372446948634,2.81026558084049,0.152035287056279,"logistic",43462,442,43020,0.144758792103584,0.000874326998297363,0,"",FALSE,FALSE,FALSE,"Congenital cardiac disease",15,"Congenital anomalies","mediumspringgreen",NA,"22"
