"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"FAM234B.M3",NA,-0.737233547579156,0.710690362326782,0.4784356558906,0.299573492393793,"logistic",43462,232,43230,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"FAM234B.M3",NA,0.0687443385241547,0.287808611016802,1.07116231919889,0.811218524969589,"logistic",43462,680,42782,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"FAM234B.M3",NA,-0.208154864145916,0.296182881996622,0.81208126470193,0.482185585229817,"logistic",43462,808,42654,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"FAM234B.M3",NA,0.394038910973842,0.412257121368497,1.48295825090183,0.339168931650477,"logistic",43462,233,43229,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"FAM234B.M3",NA,0.00312285026062242,0.112251551967932,1.00312773143724,0.977805628576037,"logistic",43462,6519,36943,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"FAM234B.M3",NA,0.0158746937985757,0.136979058030091,1.01600136615748,0.907738617402819,"logistic",43462,4094,39368,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"FAM234B.M3",NA,0.17883264524712,0.202901575697413,1.19582060115971,0.378114167087342,"logistic",43462,1360,42102,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"FAM234B.M3",NA,-0.298313954179543,0.246300731430711,0.742068327719144,0.225827306210119,"logistic",43462,1313,42149,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"FAM234B.M3",NA,-0.011174178275067,0.0993753057320142,0.988888020964294,0.910471198844544,"logistic",43462,12224,31238,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"FAM234B.M3",NA,-0.801253090513042,1.00252805546637,0.448766266883964,0.424155560224105,"logistic",43462,122,43340,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"FAM234B.M3",NA,-0.757491620917326,1.0016375748435,0.46884098419457,0.449497401840892,"logistic",43462,123,43339,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"FAM234B.M3",NA,0.246388228562542,0.258864010589248,1.27939617527606,0.341195554729516,"logistic",43462,691,42771,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"FAM234B.M3",NA,-0.159362374992548,0.3076043196656,0.852687310419021,0.604405336409946,"logistic",43462,712,42750,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"FAM234B.M3",NA,-0.288260572259166,0.185318268486703,0.749566250618525,0.119829595675112,"logistic",43462,2200,41262,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"FAM234B.M3",NA,-0.413690798521258,0.709959983031005,0.661205365338432,0.560098007934502,"logistic",43462,167,43295,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"FAM234B.M3",NA,0.280779960029186,0.582136110657502,1.32416220326398,0.62957367453673,"logistic",43462,131,43331,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"FAM234B.M3",NA,-0.628361758729681,0.709231247613098,0.533465029960095,0.375630539973087,"logistic",43462,211,43251,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"FAM234B.M3",NA,0.00515948448602148,0.706951407678051,1.00517281754681,0.994176917361468,"logistic",43462,109,43353,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"FAM234B.M3",NA,-0.713353183708535,1.00137919982411,0.489998385045437,0.476235265303938,"logistic",43462,121,43341,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"FAM234B.M3",NA,-0.238636530311401,0.501497655963122,0.787701135833859,0.634182849969795,"logistic",43462,276,43186,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"FAM234B.M3",NA,-0.464270880929114,0.318581855385699,0.628593257477416,0.145032250419316,"logistic",43462,843,42619,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
747,"FAM234B.M3",NA,-0.475215131738182,0.448480104626565,0.621751283641779,0.289320917522424,"logistic",43462,442,43020,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Congenital cardiac disease",15,"Congenital anomalies","mediumspringgreen",NA,"22"
751.21,"FAM234B.M3",NA,-0.261850357300506,0.99897668012627,0.769626184030689,0.793230016152467,"logistic",43462,71,43391,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Cystic renal disease",15,"Congenital anomalies","mediumspringgreen",NA,"23"
704.1,"FAM234B.M3",NA,-0.60117161992193,0.379577450579201,0.54816901397574,0.113241126196955,"logistic",43462,703,42759,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Alopecia",13,"Dermatologic","firebrick",NA,"24"
707,"FAM234B.M3",NA,-0.114139283926903,0.261946260301295,0.892133687345009,0.663028648067634,"logistic",43462,912,42550,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Chronic ulcer of skin",13,"Dermatologic","firebrick",NA,"25"
685,"FAM234B.M3",NA,-0.179340860504648,0.0835995308746149,0.835820952484561,0.0319338513858863,"logistic",43462,12421,31041,0.999903042817519,0.00914592057429479,0,"",TRUE,FALSE,FALSE,"Dermatitis",13,"Dermatologic","firebrick",NA,"26"
705.3,"FAM234B.M3",NA,-0.667172582066935,0.706538841237567,0.513157439098889,0.345025075769572,"logistic",43462,219,43243,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Hidradenitis suppurativa",13,"Dermatologic","firebrick",NA,"27"
695.7,"FAM234B.M3",NA,-0.179455629042198,0.319250619189588,0.83572503204062,0.574037525588334,"logistic",43462,658,42804,0.999903042817519,0.00914592057429479,0,"",FALSE,FALSE,FALSE,"Lichen planus",13,"Dermatologic","firebrick",NA,"28"
