"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"FKBP6.M1",NA,-9.09430795256889,239.103084496726,0.000112303227958397,0.969659702437075,"logistic",43462,232,43230,0.0210500179355821,0.000126547328700934,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"FKBP6.M1",NA,-9.37719655884919,152.576418998596,8.4632131470042e-05,0.950993653259485,"logistic",43462,680,42782,0.0210500179355821,0.000126547328700934,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"FKBP6.M1",NA,1.7075871238478,1.08634707998049,5.51563686011876,0.115982680697822,"logistic",43462,808,42654,0.0210500179355821,0.000126547328700934,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"FKBP6.M1",NA,-9.15885221348043,255.325571026083,0.000105283671904784,0.971385005219828,"logistic",43462,233,43229,0.0210500179355821,0.000126547328700934,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"FKBP6.M1",NA,0.626512094946744,0.753431051237529,1.87107305958851,0.405665614460957,"logistic",43462,6519,36943,0.0210500179355821,0.000126547328700934,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"FKBP6.M1",NA,-10.4991800020594,88.0208230169816,2.75590384417429e-05,0.905053021934918,"logistic",43462,4094,39368,0.0210500179355821,0.000126547328700934,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"FKBP6.M1",NA,-10.0091528479238,150.755904875207,4.49862870019864e-05,0.947064858311049,"logistic",43462,1360,42102,0.0210500179355821,0.000126547328700934,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"FKBP6.M1",NA,-10.0796106162301,151.583667271152,4.19257393130122e-05,0.946983451241735,"logistic",43462,1313,42149,0.0210500179355821,0.000126547328700934,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"FKBP6.M1",NA,0.212208420745904,0.755892093726606,1.23640555079327,0.778910562803089,"logistic",43462,12224,31238,0.0210500179355821,0.000126547328700934,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"FKBP6.M1",NA,-9.51734843636658,409.836786101735,7.35644668357533e-05,0.981472959063944,"logistic",43462,122,43340,0.0210500179355821,0.000126547328700934,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"FKBP6.M1",NA,-9.47605045737699,416.224354791749,7.66661361606377e-05,0.981836379427183,"logistic",43462,123,43339,0.0210500179355821,0.000126547328700934,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
