"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"PIF1.M3",NA,0.706577031433077,0.254114677786997,2.02704087276551,0.00542679124297442,"logistic",43462,232,43230,0.92505853919215,0.0186944917399107,0,"",TRUE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"PIF1.M3",NA,0.0769963535494616,0.193432394194077,1.08003813807977,0.69059108504264,"logistic",43462,680,42782,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"PIF1.M3",NA,-0.00278519073481273,0.184862461137598,0.997218684310487,0.987979297676458,"logistic",43462,808,42654,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"PIF1.M3",NA,0.0184874338217593,0.338543110692095,1.01865938443376,0.956450125956647,"logistic",43462,233,43229,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"PIF1.M3",NA,0.0231437356247579,0.0784347119267422,1.02341362997339,0.767940356066385,"logistic",43462,6519,36943,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"PIF1.M3",NA,-0.0602342213803829,0.0973869328371,0.941543978025619,0.536243068015621,"logistic",43462,4094,39368,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"PIF1.M3",NA,0.0883546444666605,0.143996265391667,1.0923754582526,0.539486403520829,"logistic",43462,1360,42102,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"PIF1.M3",NA,-0.0408090018583363,0.152508106191,0.960012473036471,0.789018171251163,"logistic",43462,1313,42149,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"PIF1.M3",NA,0.137465557484932,0.0683883023675046,1.14736218725209,0.0444233434817628,"logistic",43462,12224,31238,0.92505853919215,0.0186944917399107,0,"",TRUE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"PIF1.M3",NA,-0.112898219762146,0.505766691837569,0.893241569828969,0.823362780716369,"logistic",43462,122,43340,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"PIF1.M3",NA,-0.160624134976811,0.504368547047492,0.85161210216167,0.750131629670553,"logistic",43462,123,43339,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"PIF1.M3",NA,0.01165249715344,0.199922311280946,1.01172065196572,0.953521514905353,"logistic",43462,691,42771,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"PIF1.M3",NA,-0.409277832102855,0.235031578416774,0.664129690139152,0.081618078178058,"logistic",43462,712,42750,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"PIF1.M3",NA,0.144459599709233,0.108816990766716,1.15541501491826,0.18432801579417,"logistic",43462,2200,41262,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"PIF1.M3",NA,-0.0733205559357398,0.41373603520721,0.929302888717838,0.859338897883026,"logistic",43462,167,43295,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"PIF1.M3",NA,-0.25353385362059,0.503809298462251,0.776053472260619,0.614799923273803,"logistic",43462,131,43331,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"PIF1.M3",NA,-0.111662100451594,0.382374681387192,0.894346405696216,0.770269240814017,"logistic",43462,211,43251,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"PIF1.M3",NA,-1.43420694436667,1.00046561403562,0.23830427764511,0.151703728104262,"logistic",43462,109,43353,0.92505853919215,0.0186944917399107,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
