"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"PKP1.M3",NA,-0.475571861797921,0.455530254864402,0.621529525825414,0.296487140909616,"logistic",43462,232,43230,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"PKP1.M3",NA,0.068211237093052,0.213929225101045,1.07059143321717,0.74984060247025,"logistic",43462,680,42782,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"PKP1.M3",NA,-0.133475291158436,0.211617366054923,0.875049090159828,0.528211301471531,"logistic",43462,808,42654,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"PKP1.M3",NA,-0.467450379765007,0.45230633702098,0.62659781987381,0.301378470531564,"logistic",43462,233,43229,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"PKP1.M3",NA,0.0375811144479286,0.080889323174312,1.03829621449038,0.642218508715959,"logistic",43462,6519,36943,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"PKP1.M3",NA,0.0323816364248791,0.100708493172075,1.03291162679524,0.747802502184398,"logistic",43462,4094,39368,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"PKP1.M3",NA,-0.0197190302856668,0.161484602001411,0.980474118142,0.90281118855501,"logistic",43462,1360,42102,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"PKP1.M3",NA,-0.0967020572801168,0.167151419012358,0.907826446123999,0.562906563847102,"logistic",43462,1313,42149,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"PKP1.M3",NA,-0.0536050753917832,0.0701586826705062,0.947806344648333,0.444834610884619,"logistic",43462,12224,31238,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"PKP1.M3",NA,-0.73221034516105,0.712974010346563,0.480844981232501,0.304429686237507,"logistic",43462,122,43340,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"PKP1.M3",NA,-0.738301171077463,0.712225263790473,0.477925139310184,0.299916773529209,"logistic",43462,123,43339,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"PKP1.M3",NA,0.337476716472293,0.188771152963276,1.40140697831389,0.0738154208703071,"logistic",43462,691,42771,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"PKP1.M3",NA,0.200969968435927,0.193148213828424,1.22258805504049,0.298109462469012,"logistic",43462,712,42750,0.541502351548536,0.018452901385118,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
