"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"PLEKHN1.M2",NA,-0.13421784769978,1.01472371951452,0.874399557920984,0.894770469345274,"logistic",43462,232,43230,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"PLEKHN1.M2",NA,-0.416980326045096,0.724830184988557,0.659033885619523,0.5651019293944,"logistic",43462,680,42782,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"PLEKHN1.M2",NA,0.467801852343863,0.425389573622891,1.59648103236944,0.271461893469952,"logistic",43462,808,42654,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"PLEKHN1.M2",NA,-12.1329846636214,234.125095651229,5.37912592952136e-06,0.958670001665333,"logistic",43462,233,43229,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"PLEKHN1.M2",NA,-0.261278279537694,0.219241554744288,0.770066596019193,0.233364373097581,"logistic",43462,6519,36943,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"PLEKHN1.M2",NA,-0.257809908035579,0.277587348360985,0.772742110212033,0.353017432823039,"logistic",43462,4094,39368,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"PLEKHN1.M2",NA,-0.295920163829863,0.467649890323781,0.743846811530273,0.526876388608899,"logistic",43462,1360,42102,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"PLEKHN1.M2",NA,0.240299885915828,0.373654021012007,1.27163043720552,0.520154031207321,"logistic",43462,1313,42149,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"PLEKHN1.M2",NA,0.334475227493428,0.163759518262556,1.39720697699554,0.0411041309605703,"logistic",43462,12224,31238,0.703644286777869,0.00291058856012149,0,"",TRUE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"PLEKHN1.M2",NA,-12.4565688067743,376.029443669438,3.89207234075561e-06,0.973573647963409,"logistic",43462,122,43340,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"PLEKHN1.M2",NA,0.444972435354108,1.00917584404871,1.56044718206583,0.659266163363609,"logistic",43462,123,43339,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"PLEKHN1.M2",NA,-0.0888205445442229,0.591323238153576,0.915009762335667,0.880601763765592,"logistic",43462,691,42771,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"PLEKHN1.M2",NA,0.12135711067708,0.51301258587327,1.1290280283482,0.812999888961743,"logistic",43462,712,42750,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"PLEKHN1.M2",NA,0.00328665026347952,0.288838882267271,1.00329205722043,0.990921198376314,"logistic",43462,2200,41262,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"PLEKHN1.M2",NA,0.0992474798980128,1.0088453944525,1.10433956758687,0.921632704028839,"logistic",43462,167,43295,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"PLEKHN1.M2",NA,0.455433379870022,1.00887651046349,1.5768566128882,0.651682339116871,"logistic",43462,131,43331,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"PLEKHN1.M2",NA,-0.11125605709105,1.00555079591075,0.894709622852242,0.911900314934958,"logistic",43462,211,43251,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"PLEKHN1.M2",NA,-12.4758620612798,401.963436936727,3.81770133481442e-06,0.975239788370156,"logistic",43462,109,43353,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"PLEKHN1.M2",NA,-12.3730403756349,386.49168895631,4.23113459275296e-06,0.974461101970016,"logistic",43462,121,43341,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"PLEKHN1.M2",NA,-0.375158963240627,1.00493967870465,0.687180033743171,0.708914082534158,"logistic",43462,276,43186,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"PLEKHN1.M2",NA,0.0589426169431393,0.45308621540991,1.06071437196064,0.896494119589019,"logistic",43462,843,42619,0.703644286777869,0.00291058856012149,0,"",FALSE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
