"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"SEC16A.M2",NA,-0.511573009252357,0.716743701064238,0.59955173624196,0.475384204946863,"logistic",43462,232,43230,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"SEC16A.M2",NA,-0.092442225197446,0.368942989375535,0.911701882839163,0.802154583594431,"logistic",43462,680,42782,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"SEC16A.M2",NA,-0.601904695299735,0.416960305028336,0.547767312025612,0.148864486393345,"logistic",43462,808,42654,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"SEC16A.M2",NA,0.238257582403928,0.508653012029643,1.2690360320809,0.639492226372968,"logistic",43462,233,43229,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"SEC16A.M2",NA,-0.0126696761937987,0.129438854148156,0.987410246266997,0.922026347407009,"logistic",43462,6519,36943,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"SEC16A.M2",NA,0.0235056980171693,0.157515466348494,1.02378413426958,0.881373826715133,"logistic",43462,4094,39368,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"SEC16A.M2",NA,-0.052971363856329,0.258261303388023,0.948407170817443,0.83748803529452,"logistic",43462,1360,42102,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"SEC16A.M2",NA,-0.324778800638734,0.289769649390023,0.722687193908826,0.262365690683521,"logistic",43462,1313,42149,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"SEC16A.M2",NA,0.157470496580831,0.10932883032238,1.17054622235638,0.149771723569012,"logistic",43462,12224,31238,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"SEC16A.M2",NA,-0.554949100389727,1.00676973280584,0.574101481994457,0.58148458148673,"logistic",43462,122,43340,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"SEC16A.M2",NA,-0.534723654457505,1.00637079002812,0.585831159607424,0.595184156016861,"logistic",43462,123,43339,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"SEC16A.M2",NA,0.172057022855144,0.314464218228575,1.18774555992591,0.584280214837439,"logistic",43462,691,42771,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"SEC16A.M2",NA,0.236036007390492,0.29979537863082,1.26621990262052,0.43109239808248,"logistic",43462,712,42750,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"SEC16A.M2",NA,-0.0779524755162606,0.197231749695725,0.925008386044956,0.6926710176961,"logistic",43462,2200,41262,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"SEC16A.M2",NA,0.284640212232631,0.586252057662935,1.32928368206693,0.627303763225087,"logistic",43462,167,43295,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"SEC16A.M2",NA,-0.464512032019025,1.00644815270833,0.628441689804354,0.644414115462223,"logistic",43462,131,43331,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"SEC16A.M2",NA,-1.05016378283935,1.00390829057289,0.349880440006261,0.295526214453579,"logistic",43462,211,43251,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"SEC16A.M2",NA,-0.42555065202623,1.00450114337533,0.653409884572057,0.671825628550279,"logistic",43462,109,43353,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"SEC16A.M2",NA,-0.415454753530833,1.01039260212514,0.660040056899872,0.680939446906175,"logistic",43462,121,43341,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"SEC16A.M2",NA,-0.616884203009809,0.711537071747024,0.539623177202003,0.385956208069223,"logistic",43462,276,43186,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"SEC16A.M2",NA,-0.0299160971886173,0.307053508572061,0.970526960072976,0.922385247754275,"logistic",43462,843,42619,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
747,"SEC16A.M2",NA,-0.71774768302739,0.580795845107893,0.487849811885461,0.216532801279933,"logistic",43462,442,43020,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Congenital cardiac disease",15,"Congenital anomalies","mediumspringgreen",NA,"22"
751.21,"SEC16A.M2",NA,-13.0757227891058,432.768165652473,2.09549073890682e-06,0.975896262663364,"logistic",43462,71,43391,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Cystic renal disease",15,"Congenital anomalies","mediumspringgreen",NA,"23"
704.1,"SEC16A.M2",NA,0.733531266184747,0.229891707970108,2.08242122285969,0.00141894827931476,"logistic",43462,703,42759,0.0128434443545159,0.00682205144724127,0,"",TRUE,FALSE,FALSE,"Alopecia",13,"Dermatologic","firebrick",NA,"24"
707,"SEC16A.M2",NA,0.415261080203327,0.244867614564654,1.51476616452936,0.0899124835499897,"logistic",43462,912,42550,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Chronic ulcer of skin",13,"Dermatologic","firebrick",NA,"25"
685,"SEC16A.M2",NA,0.164999991671247,0.0897316557584628,1.17939310888852,0.0659422748263711,"logistic",43462,12421,31041,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Dermatitis",13,"Dermatologic","firebrick",NA,"26"
705.3,"SEC16A.M2",NA,0.308170835224841,0.503850233312774,1.36093346445347,0.540781380368657,"logistic",43462,219,43243,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Hidradenitis suppurativa",13,"Dermatologic","firebrick",NA,"27"
695.7,"SEC16A.M2",NA,0.283874719491907,0.295049164633571,1.32826651442484,0.335985894832316,"logistic",43462,658,42804,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Lichen planus",13,"Dermatologic","firebrick",NA,"28"
696.4,"SEC16A.M2",NA,0.150898092413511,0.209909271353142,1.16287814593805,0.472219218412172,"logistic",43462,1493,41969,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Psoriasis",13,"Dermatologic","firebrick",NA,"29"
695.3,"SEC16A.M2",NA,-0.510243255716733,0.450816986985018,0.600349522595072,0.257710515368771,"logistic",43462,607,42855,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Rosacea",13,"Dermatologic","firebrick",NA,"30"
690.1,"SEC16A.M2",NA,0.150007097405241,0.154634029324513,1.16184248876599,0.332007525425974,"logistic",43462,2953,40509,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Seborrheic dermatitis",13,"Dermatologic","firebrick",NA,"31"
686,"SEC16A.M2",NA,0.0876437413505147,0.155239193372782,1.09159916110405,0.572364741676614,"logistic",43462,3119,40343,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Urticaria",13,"Dermatologic","firebrick",NA,"32"
694.1,"SEC16A.M2",NA,-0.11666105747346,0.381582427844558,0.889886762520807,0.759810505374908,"logistic",43462,564,42898,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Vitiligo",13,"Dermatologic","firebrick",NA,"33"
530.13,"SEC16A.M2",NA,-0.346245468660443,1.0077193098685,0.707338836277835,0.73115226449148,"logistic",43462,106,43356,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Barretts oesophagus",10,"Digestive","chartreuse4",NA,"34"
574.1,"SEC16A.M2",NA,0.0203658567594217,0.181145910217352,1.02057465586887,0.910484123705335,"logistic",43462,2501,40961,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Cholelithiasis",10,"Digestive","chartreuse4",NA,"35"
557.1,"SEC16A.M2",NA,-0.615953032743607,1.00496079019361,0.540125892279909,0.539934196012362,"logistic",43462,147,43315,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Coeliac disease",10,"Digestive","chartreuse4",NA,"36"
563,"SEC16A.M2",NA,0.0380992678116855,0.101158732538723,1.03883435057296,0.706449659965154,"logistic",43462,9707,33755,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Constipation",10,"Digestive","chartreuse4",NA,"37"
555.1,"SEC16A.M2",NA,0.306999278075391,0.41291146303334,1.35933998673064,0.457179600019987,"logistic",43462,319,43143,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Crohns disease",10,"Digestive","chartreuse4",NA,"38"
562,"SEC16A.M2",NA,-0.158595532048043,0.311203490282445,0.85334143844156,0.610317688406398,"logistic",43462,960,42502,0.0128434443545159,0.00682205144724127,0,"",FALSE,FALSE,FALSE,"Diverticular disease",10,"Digestive","chartreuse4",NA,"39"
