"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"SREBF2.M3",NA,0.104010048332077,0.275758191134803,1.10961160460544,0.706040990754864,"logistic",43462,232,43230,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"SREBF2.M3",NA,-0.109629142542024,0.177931249441269,0.896166423678717,0.537807381566889,"logistic",43462,680,42782,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"SREBF2.M3",NA,0.0216463178641393,0.156850185475266,1.02188229903462,0.890235417792601,"logistic",43462,808,42654,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"SREBF2.M3",NA,0.21533494498823,0.264723262857574,1.24027725205122,0.415969180604952,"logistic",43462,233,43229,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"SREBF2.M3",NA,-0.0439001487593192,0.0674148719449182,0.957049515283678,0.514921371791064,"logistic",43462,6519,36943,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"SREBF2.M3",NA,-0.0453503083409308,0.0825944621188466,0.955662646592518,0.582956024485766,"logistic",43462,4094,39368,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"SREBF2.M3",NA,-0.0542807367348963,0.129293187945946,0.947166164837227,0.674612034008319,"logistic",43462,1360,42102,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"SREBF2.M3",NA,-0.0720610097679724,0.131739214524708,0.930474126068933,0.58438050822609,"logistic",43462,1313,42149,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"SREBF2.M3",NA,-0.0526068189601428,0.0588586278977351,0.948752970837058,0.37143820716649,"logistic",43462,12224,31238,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"SREBF2.M3",NA,-0.211994858398868,0.454418157709389,0.808968856950997,0.640843808482222,"logistic",43462,122,43340,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"SREBF2.M3",NA,0.761377101934374,0.288083415826275,2.14122287327124,0.00821980931033067,"logistic",43462,123,43339,0.631276878988751,0.0263563572776218,0,"",TRUE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"SREBF2.M3",NA,0.310793676291693,0.150049843351235,1.36450766186017,0.0383336102401751,"logistic",43462,691,42771,0.631276878988751,0.0263563572776218,0,"",TRUE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"SREBF2.M3",NA,-0.139003015159912,0.177531967289253,0.870225404585541,0.433642047448313,"logistic",43462,712,42750,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"SREBF2.M3",NA,-0.0834374981786621,0.10058319288498,0.91994858333639,0.406800507247553,"logistic",43462,2200,41262,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"SREBF2.M3",NA,0.302539565953054,0.297386130238451,1.35329121961879,0.308996894969395,"logistic",43462,167,43295,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"SREBF2.M3",NA,-0.0174857355983386,0.385109055019852,0.982666252711228,0.963784787597373,"logistic",43462,131,43331,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"SREBF2.M3",NA,0.166138941229752,0.284270483701052,1.18073714339765,0.55892455892318,"logistic",43462,211,43251,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"SREBF2.M3",NA,-1.10838403230243,0.710807613291825,0.330091948239766,0.118918162711798,"logistic",43462,109,43353,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"SREBF2.M3",NA,0.0711366870983875,0.386600090356858,1.07372798060052,0.854008847665215,"logistic",43462,121,43341,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"SREBF2.M3",NA,-0.00487220258188909,0.264155961365602,0.995139647344219,0.985284319188177,"logistic",43462,276,43186,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"SREBF2.M3",NA,-0.162886765079109,0.162266097771656,0.849687397252597,0.315462973529231,"logistic",43462,843,42619,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
747,"SREBF2.M3",NA,0.0246416150608672,0.208594273088573,1.02494772886512,0.905963234274546,"logistic",43462,442,43020,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Congenital cardiac disease",15,"Congenital anomalies","mediumspringgreen",NA,"22"
751.21,"SREBF2.M3",NA,0.0343168666698985,0.507804140248719,1.03491248405113,0.946120818717894,"logistic",43462,71,43391,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Cystic renal disease",15,"Congenital anomalies","mediumspringgreen",NA,"23"
704.1,"SREBF2.M3",NA,0.174778743595648,0.156679988832734,1.19098267491399,0.264630160881086,"logistic",43462,703,42759,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Alopecia",13,"Dermatologic","firebrick",NA,"24"
707,"SREBF2.M3",NA,0.00561420711016999,0.143720776332657,1.00562999630502,0.968839924818419,"logistic",43462,912,42550,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Chronic ulcer of skin",13,"Dermatologic","firebrick",NA,"25"
685,"SREBF2.M3",NA,0.0802376367808689,0.0473459474447742,1.08354452711618,0.0901305030926994,"logistic",43462,12421,31041,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Dermatitis",13,"Dermatologic","firebrick",NA,"26"
705.3,"SREBF2.M3",NA,-0.052327087437711,0.306219364690087,0.949018404073293,0.864317295169593,"logistic",43462,219,43243,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Hidradenitis suppurativa",13,"Dermatologic","firebrick",NA,"27"
695.7,"SREBF2.M3",NA,0.220989196344728,0.157835862580792,1.2473099549845,0.16147729502918,"logistic",43462,658,42804,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Lichen planus",13,"Dermatologic","firebrick",NA,"28"
696.4,"SREBF2.M3",NA,0.0892048758696804,0.113226904133891,1.09330462511854,0.430789310026852,"logistic",43462,1493,41969,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Psoriasis",13,"Dermatologic","firebrick",NA,"29"
695.3,"SREBF2.M3",NA,0.013436051210657,0.178982741519705,1.01352672057103,0.940159831349485,"logistic",43462,607,42855,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Rosacea",13,"Dermatologic","firebrick",NA,"30"
690.1,"SREBF2.M3",NA,0.00732116077788809,0.08566224721694,1.00734802599697,0.931891377889545,"logistic",43462,2953,40509,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Seborrheic dermatitis",13,"Dermatologic","firebrick",NA,"31"
686,"SREBF2.M3",NA,0.0731913803826238,0.0820866667610132,1.07593643033781,0.372588373460107,"logistic",43462,3119,40343,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Urticaria",13,"Dermatologic","firebrick",NA,"32"
694.1,"SREBF2.M3",NA,-0.0406809373529663,0.196465413904307,0.960135424431666,0.835959785633152,"logistic",43462,564,42898,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Vitiligo",13,"Dermatologic","firebrick",NA,"33"
530.13,"SREBF2.M3",NA,-0.192379679654102,0.454339285749228,0.82499357574453,0.671983493935141,"logistic",43462,106,43356,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Barretts oesophagus",10,"Digestive","chartreuse4",NA,"34"
574.1,"SREBF2.M3",NA,0.0132010148103837,0.0915163778831878,1.01328853289153,0.885304980990085,"logistic",43462,2501,40961,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Cholelithiasis",10,"Digestive","chartreuse4",NA,"35"
557.1,"SREBF2.M3",NA,-0.300970376406556,0.382838993610952,0.740099696834498,0.43177731706633,"logistic",43462,147,43315,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Coeliac disease",10,"Digestive","chartreuse4",NA,"36"
563,"SREBF2.M3",NA,0.0333249901152093,0.0526220337221286,1.03388648753711,0.526544500987473,"logistic",43462,9707,33755,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Constipation",10,"Digestive","chartreuse4",NA,"37"
555.1,"SREBF2.M3",NA,0.207166131706619,0.228354190516155,1.23018692785906,0.364293611357591,"logistic",43462,319,43143,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Crohns disease",10,"Digestive","chartreuse4",NA,"38"
562,"SREBF2.M3",NA,-5.06801668749592e-05,0.144623251725739,0.999949321117343,0.999720398197535,"logistic",43462,960,42502,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Diverticular disease",10,"Digestive","chartreuse4",NA,"39"
535,"SREBF2.M3",NA,0.072312154576959,0.0557228177709249,1.07499085501103,0.194386409353663,"logistic",43462,8550,34912,0.631276878988751,0.0263563572776218,0,"",FALSE,FALSE,FALSE,"Gastritis and duodenitis",10,"Digestive","chartreuse4",NA,"40"
