"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"SUSD4.M2",NA,-12.2263903391655,319.128663553487,4.89943659943509e-06,0.969439090632551,"logistic",43462,232,43230,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"SUSD4.M2",NA,0.608198090084841,0.528241614021294,1.83711809323156,0.249582741584494,"logistic",43462,680,42782,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"SUSD4.M2",NA,0.202735688594614,0.602444274864761,1.22474871041005,0.73647734405982,"logistic",43462,808,42654,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"SUSD4.M2",NA,0.490446447474974,0.99781345836395,1.63304512610719,0.623057876426855,"logistic",43462,233,43229,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"SUSD4.M2",NA,-0.0362087808984591,0.297141248019947,0.964438916038573,0.903012164605733,"logistic",43462,6519,36943,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"SUSD4.M2",NA,0.0294838620249177,0.348613844366152,1.02992281446906,0.93259962584265,"logistic",43462,4094,39368,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"SUSD4.M2",NA,-0.0774821428186672,0.537951489039563,0.925443550062372,0.885475327052659,"logistic",43462,1360,42102,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"SUSD4.M2",NA,0.228280534409502,0.482902285329355,1.2564377500187,0.636408573142758,"logistic",43462,1313,42149,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"SUSD4.M2",NA,0.534171063693853,0.258841101269614,1.70603346287735,0.0390459190240925,"logistic",43462,12224,31238,1,0.00124246468179099,0,"",TRUE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"SUSD4.M2",NA,-11.5802503075409,337.461108498392,9.34891459460274e-06,0.972625320039438,"logistic",43462,122,43340,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"SUSD4.M2",NA,1.01839314810197,0.977664455040831,2.76874222893443,0.297569723669223,"logistic",43462,123,43339,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"SUSD4.M2",NA,-0.735286014774799,1.01224735692305,0.479368332940001,0.467599927381833,"logistic",43462,691,42771,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"SUSD4.M2",NA,-0.0174391632058375,0.720751959990063,0.982712018895359,0.980696436087207,"logistic",43462,712,42750,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"SUSD4.M2",NA,0.231832600697095,0.388595052952283,1.26090863593374,0.550779984072547,"logistic",43462,2200,41262,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"SUSD4.M2",NA,-12.0435972433573,342.081643115272,5.88209690366107e-06,0.971914846387371,"logistic",43462,167,43295,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"SUSD4.M2",NA,-11.8505463010869,341.170911793666,7.13465757066014e-06,0.972291110973039,"logistic",43462,131,43331,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"SUSD4.M2",NA,-12.1951663258157,354.578317021169,5.05483005211989e-06,0.972563418426874,"logistic",43462,211,43251,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"SUSD4.M2",NA,-11.4024135599848,367.494294607447,1.11684964505175e-05,0.975247642395102,"logistic",43462,109,43353,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"SUSD4.M2",NA,1.62079260719582,0.698817229208825,5.05709701997113,0.0203767744918748,"logistic",43462,121,43341,1,0.00124246468179099,0,"",TRUE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"SUSD4.M2",NA,-11.6247769999342,216.54092803127,8.94177001666962e-06,0.957186953308781,"logistic",43462,276,43186,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"SUSD4.M2",NA,-0.123649206180719,0.705505361821923,0.883689779430095,0.860872738496629,"logistic",43462,843,42619,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
747,"SUSD4.M2",NA,-11.8909428256723,223.303093075862,6.85218604686587e-06,0.957532528325123,"logistic",43462,442,43020,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Congenital cardiac disease",15,"Congenital anomalies","mediumspringgreen",NA,"22"
751.21,"SUSD4.M2",NA,-11.2050413698512,367.848112581425,1.36054328619043e-05,0.975699353040341,"logistic",43462,71,43391,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Cystic renal disease",15,"Congenital anomalies","mediumspringgreen",NA,"23"
704.1,"SUSD4.M2",NA,-0.384245963390663,0.989436098572827,0.680963914386083,0.69775819614831,"logistic",43462,703,42759,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Alopecia",13,"Dermatologic","firebrick",NA,"24"
707,"SUSD4.M2",NA,0.426238151438457,0.502044752397729,1.53148545717135,0.395878901953129,"logistic",43462,912,42550,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Chronic ulcer of skin",13,"Dermatologic","firebrick",NA,"25"
685,"SUSD4.M2",NA,-0.101103508922638,0.218931691937055,0.903839472593739,0.644221954683135,"logistic",43462,12421,31041,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Dermatitis",13,"Dermatologic","firebrick",NA,"26"
705.3,"SUSD4.M2",NA,-11.2090500615485,226.393322786185,1.35510020472207e-05,0.960511753513555,"logistic",43462,219,43243,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Hidradenitis suppurativa",13,"Dermatologic","firebrick",NA,"27"
695.7,"SUSD4.M2",NA,0.541114186331215,0.575284299446666,1.71791987910573,0.346908300810981,"logistic",43462,658,42804,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Lichen planus",13,"Dermatologic","firebrick",NA,"28"
696.4,"SUSD4.M2",NA,0.686860753527657,0.381724524724091,1.98746658241879,0.0719613746714123,"logistic",43462,1493,41969,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Psoriasis",13,"Dermatologic","firebrick",NA,"29"
695.3,"SUSD4.M2",NA,-0.502314420741465,0.993381423069087,0.605128515774853,0.613094525969109,"logistic",43462,607,42855,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Rosacea",13,"Dermatologic","firebrick",NA,"30"
690.1,"SUSD4.M2",NA,0.25019959951899,0.342073311934463,1.28428173312275,0.46452204994736,"logistic",43462,2953,40509,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Seborrheic dermatitis",13,"Dermatologic","firebrick",NA,"31"
686,"SUSD4.M2",NA,0.0748610027499129,0.363763452381903,1.07773433836375,0.836950396206601,"logistic",43462,3119,40343,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Urticaria",13,"Dermatologic","firebrick",NA,"32"
694.1,"SUSD4.M2",NA,-0.314777197984793,0.992583914746304,0.729951490815894,0.751145679858602,"logistic",43462,564,42898,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Vitiligo",13,"Dermatologic","firebrick",NA,"33"
530.13,"SUSD4.M2",NA,-11.6780102532751,344.720342081676,8.4782181566572e-06,0.972975420854071,"logistic",43462,106,43356,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Barretts oesophagus",10,"Digestive","chartreuse4",NA,"34"
574.1,"SUSD4.M2",NA,-0.215133324857098,0.420075344204062,0.806433915323099,0.608559798455665,"logistic",43462,2501,40961,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Cholelithiasis",10,"Digestive","chartreuse4",NA,"35"
557.1,"SUSD4.M2",NA,-11.7567670907541,362.835932115263,7.83611728329164e-06,0.974151122012232,"logistic",43462,147,43315,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Coeliac disease",10,"Digestive","chartreuse4",NA,"36"
563,"SUSD4.M2",NA,0.038791055272934,0.229582476403162,1.03955325178576,0.865825363260445,"logistic",43462,9707,33755,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Constipation",10,"Digestive","chartreuse4",NA,"37"
555.1,"SUSD4.M2",NA,0.357041979031136,0.984294702557116,1.42909586065432,0.716799937022953,"logistic",43462,319,43143,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Crohns disease",10,"Digestive","chartreuse4",NA,"38"
562,"SUSD4.M2",NA,-0.0633152711987872,0.594465872464918,0.938647498513266,0.915179441819828,"logistic",43462,960,42502,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Diverticular disease",10,"Digestive","chartreuse4",NA,"39"
535,"SUSD4.M2",NA,0.405242149917028,0.231788910423724,1.49966559999329,0.0804079136441433,"logistic",43462,8550,34912,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Gastritis and duodenitis",10,"Digestive","chartreuse4",NA,"40"
530.11,"SUSD4.M2",NA,0.265895648131802,0.228998067148571,1.30459891424964,0.245590594490995,"logistic",43462,9153,34309,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Gastro-oesophageal reflux disease",10,"Digestive","chartreuse4",NA,"41"
565.1,"SUSD4.M2",NA,0.124577222583766,0.400973074005213,1.13266948474726,0.756038389239208,"logistic",43462,2397,41065,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Gastrointestinal polyp",10,"Digestive","chartreuse4",NA,"42"
556.11,"SUSD4.M2",NA,-12.0309389515779,564.359767858382,5.95702744836931e-06,0.98299210190163,"logistic",43462,81,43381,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Gastrointestinal angiodysplasia",10,"Digestive","chartreuse4",NA,"43"
564.1,"SUSD4.M2",NA,0.165888734486398,0.412918381848874,1.18044175195825,0.68787020727677,"logistic",43462,2150,41312,1,0.00124246468179099,0,"",FALSE,FALSE,FALSE,"Irritable bowel syndrome",10,"Digestive","chartreuse4",NA,"44"
