"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"TMPRSS15.M3",NA,0.0308871521085078,0.324098805912386,1.03136910948986,0.924075229311981,"logistic",43462,232,43230,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"TMPRSS15.M3",NA,0.0494218146605177,0.190384731643296,1.05066344252548,0.795180690330021,"logistic",43462,680,42782,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"TMPRSS15.M3",NA,-0.137281755921554,0.19004291577055,0.871724577965516,0.470065555113169,"logistic",43462,808,42654,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"TMPRSS15.M3",NA,-0.372324941877022,0.383520977015098,0.689130278852282,0.331644275695259,"logistic",43462,233,43229,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"TMPRSS15.M3",NA,0.0646355332381175,0.0743455206446429,1.06677015126013,0.384631783905645,"logistic",43462,6519,36943,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"TMPRSS15.M3",NA,0.143470328947448,0.090427913520535,1.15427256181717,0.112609780275692,"logistic",43462,4094,39368,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"TMPRSS15.M3",NA,0.0821658395384196,0.137129437334572,1.08563583624736,0.549049827636846,"logistic",43462,1360,42102,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"TMPRSS15.M3",NA,0.0619575638200458,0.139150981103316,1.0639171951885,0.656136035812264,"logistic",43462,1313,42149,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"TMPRSS15.M3",NA,-0.106177756385507,0.0657245531211812,0.899264783810314,0.106203313631986,"logistic",43462,12224,31238,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"TMPRSS15.M3",NA,-0.561104196493956,0.583108090692163,0.57057868489836,0.335916772820742,"logistic",43462,122,43340,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"TMPRSS15.M3",NA,0.176896615237494,0.415651037817136,1.19350769623884,0.670407171738479,"logistic",43462,123,43339,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"TMPRSS15.M3",NA,-0.0914883497549656,0.196644844220457,0.912571947776884,0.641754854224806,"logistic",43462,691,42771,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"TMPRSS15.M3",NA,0.136735129676365,0.178671884215609,1.1465244280026,0.444101131839668,"logistic",43462,712,42750,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"TMPRSS15.M3",NA,-0.169498927858832,0.113850308320884,0.844087659461006,0.136543307286615,"logistic",43462,2200,41262,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"TMPRSS15.M3",NA,-0.850689954685559,0.581039852417801,0.427120136723119,0.14317156101876,"logistic",43462,167,43295,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"TMPRSS15.M3",NA,0.244514501307821,0.365798521385972,1.27700118027727,0.50385252937331,"logistic",43462,131,43331,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"TMPRSS15.M3",NA,0.141104898782118,0.306415210746265,1.15154543736324,0.645155745620306,"logistic",43462,211,43251,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"TMPRSS15.M3",NA,-0.196964282607803,0.503473076193076,0.821219964624392,0.695641165092821,"logistic",43462,109,43353,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"TMPRSS15.M3",NA,0.345443082797812,0.385303862481707,1.41261568673482,0.369960605822297,"logistic",43462,121,43341,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"TMPRSS15.M3",NA,0.237745486599779,0.264004638158142,1.2683863304225,0.367835467438796,"logistic",43462,276,43186,0.876255717641025,0.0211103952878377,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
