"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"ZBTB10.M3",NA,0.368098590349844,0.416801836085266,1.44498449347817,0.377155169028274,"logistic",43462,232,43230,0.939018764118219,0.0089963646403755,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"ZBTB10.M3",NA,0.0154824833656745,0.302068005253824,1.01560295795687,0.9591223580366,"logistic",43462,680,42782,0.939018764118219,0.0089963646403755,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"ZBTB10.M3",NA,-0.00587076330725197,0.276573288364373,0.994146435949604,0.983064743200917,"logistic",43462,808,42654,0.939018764118219,0.0089963646403755,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"ZBTB10.M3",NA,-0.709583982471459,0.709012190842109,0.491848772615389,0.316920384683561,"logistic",43462,233,43229,0.939018764118219,0.0089963646403755,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"ZBTB10.M3",NA,-0.0683995250775055,0.116318119981586,0.933887287642631,0.556506495820307,"logistic",43462,6519,36943,0.939018764118219,0.0089963646403755,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"ZBTB10.M3",NA,-0.0854639331199996,0.144298672231701,0.918086254963821,0.553669066051103,"logistic",43462,4094,39368,0.939018764118219,0.0089963646403755,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"ZBTB10.M3",NA,-0.636856204616196,0.288307464548932,0.528952731998449,0.0271782562035372,"logistic",43462,1360,42102,0.939018764118219,0.0089963646403755,0,"",TRUE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"ZBTB10.M3",NA,-0.860268442060098,0.324791119456371,0.423048503062023,0.00808062895608621,"logistic",43462,1313,42149,0.939018764118219,0.0089963646403755,0,"",TRUE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"ZBTB10.M3",NA,-0.140480426230607,0.10148643381181,0.868940673210671,0.16628846252839,"logistic",43462,12224,31238,0.939018764118219,0.0089963646403755,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"ZBTB10.M3",NA,-0.0214017418771613,0.712619494318597,0.978825650315175,0.976041137056266,"logistic",43462,122,43340,0.939018764118219,0.0089963646403755,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"ZBTB10.M3",NA,0.904832741658129,0.452192908293332,2.47151850639746,0.0453936453311639,"logistic",43462,123,43339,0.939018764118219,0.0089963646403755,0,"",TRUE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
