"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"ZNF155.M2",NA,0.164196983144372,0.595220699100708,1.1784464263135,0.782656370434383,"logistic",43462,232,43230,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"ZNF155.M2",NA,0.0795783315330645,0.351891655600241,1.08283037597089,0.821089103415965,"logistic",43462,680,42782,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"ZNF155.M2",NA,0.16243834186381,0.317106384094987,1.17637578307427,0.608474737155681,"logistic",43462,808,42654,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"ZNF155.M2",NA,0.858966021916639,0.419679640586674,2.36071850014593,0.0406857463909366,"logistic",43462,233,43229,0.999999999705596,0.00632736643504671,0,"",TRUE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"ZNF155.M2",NA,0.162735138469314,0.135760422089767,1.17672497923104,0.230647137964672,"logistic",43462,6519,36943,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"ZNF155.M2",NA,0.359714184040495,0.164991572599635,1.43291980467774,0.0292428383539545,"logistic",43462,4094,39368,0.999999999705596,0.00632736643504671,0,"",TRUE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"ZNF155.M2",NA,0.339525447341703,0.245857258240641,1.40428102712196,0.167283245654516,"logistic",43462,1360,42102,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"ZNF155.M2",NA,0.143091306659957,0.267467566357226,1.15383514969011,0.592659788456936,"logistic",43462,1313,42149,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"ZNF155.M2",NA,-0.0129066560740396,0.12474109629461,0.987176277629113,0.917591899684067,"logistic",43462,12224,31238,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"ZNF155.M2",NA,1.06837600612005,0.59296338062587,2.91064878387801,0.0715836233649912,"logistic",43462,122,43340,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"ZNF155.M2",NA,0.452819459033443,0.717920874253628,1.57274021684198,0.528212319492489,"logistic",43462,123,43339,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"ZNF155.M2",NA,-0.0821881806554662,0.391595586923683,0.921098609446298,0.833761135200384,"logistic",43462,691,42771,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"ZNF155.M2",NA,-0.317656512481466,0.418100143441262,0.727852753818407,0.447396987840306,"logistic",43462,712,42750,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"ZNF155.M2",NA,-0.0189576266001467,0.208468018652988,0.981220939029119,0.927542000782336,"logistic",43462,2200,41262,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"ZNF155.M2",NA,0.178259359574559,0.717297495632168,1.19513525081165,0.803735779729001,"logistic",43462,167,43295,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"ZNF155.M2",NA,0.199694018261428,0.71834296681275,1.22102908839171,0.781018050814736,"logistic",43462,131,43331,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"ZNF155.M2",NA,-0.815544524283323,1.00436232834241,0.442398365109702,0.416790309662691,"logistic",43462,211,43251,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"ZNF155.M2",NA,0.604622307572366,0.708237467191782,1.83056068939245,0.393271248371282,"logistic",43462,109,43353,0.999999999705596,0.00632736643504671,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
