Gene_symbol	Ensembl_ID	Mask	All_Eur_hom.alt	All_Eur_het	All_Eur_hom.ref	All_BP_hom.alt	All_BP_het	All_BP_hom.ref	fisher.p.val	adj.fisher.p.val	log.odds.ratio	lower.CI	upper.CI	p.val	adj.p.val	log.odds.ratio.sex	lower.CI.sex	upper.CI.sex	p.val.sex	adj.p.val.sex
ZNF155	ENSG00000204920	M1	0	8	12972	0	6	129	2.98609037696523e-09	1	4.32305399044118	3.25044044367942	5.39566753720294	2.80193268752807e-15	1.31690836313819e-13	4.32480033325572	3.25179488493668	5.39780578157477	2.79509136448559e-15	1.31369294130823e-13
FAAH	ENSG00000117480	M1	0	9	12971	0	3	132	0.00021924874766353	1	3.48905716396742	2.17121320411637	4.80690112381846	2.11310929375439e-07	4.96580684032281e-06	3.47607901125229	2.1571491160109	4.79500890649368	2.39741337634476e-07	5.6339214344102e-06
ZBTB10	ENSG00000205189	M1	18	889	12073	2	21	112	3.37183889917154e-05	1	1.00770930477997	0.592477131858723	1.42294147770122	1.96926304865457e-06	3.08517877622549e-05	1.00613077478661	0.590643504010881	1.42161804556233	2.07287581103401e-06	3.24750543728661e-05
PRDX3	ENSG00000165672	M1	0	6	12974	0	1	134	0.0698830736745272	1	2.78110336450102	0.657270682614226	4.90493604638782	0.0102724230139251	0.112167971677207	2.754911763694	0.628841163733217	4.88098236365479	0.011095559727176	0.126153800465622
UGGT1	ENSG00000136731	M1	0	7	12973	0	1	134	0.0794623981368313	1	2.62687560447298	0.524685798942984	4.72906541000297	0.0143193155332592	0.112167971677207	2.58746214861521	0.480143355172917	4.69478094205751	0.0161047404849731	0.126153800465622
CCNDBP1	ENSG00000166946	M1	0	7	12973	0	1	134	0.0794623981368313	1	2.62687560447304	0.52468579894297	4.72906541000311	0.0143193155332604	0.112167971677207	2.64735420743089	0.543855752410308	4.75085266245148	0.0136361065055895	0.126153800465622
LHPP	ENSG00000107902	M1	0	8	12972	0	1	134	0.0889437879478705	1	2.4932671257037	0.407456846071447	4.57907740533596	0.0191377352917944	0.128496222673477	2.49247098596922	0.406393091655814	4.57854888028263	0.0191915835178889	0.128857775048682
CYP4A22	ENSG00000162365	M1	0	12	12968	0	1	134	0.125909727980216	1	2.0874936135855	0.040411829490659	4.13457539768034	0.0456455862516317	0.268167819228336	2.08486019061201	0.0375746217276407	4.13214575949639	0.0459408939422014	0.269902751910433
PIF1	ENSG00000140451	M1	8	570	12402	0	1	134	0.108841199906506	1	-1.8224106002872	-3.78457109370893	0.139749893134531	0.068702596850722	0.358780227998215	-1.82012438200616	-3.78225069908401	0.142001935071687	0.0690460167964987	0.360573643270604
TRIM17	ENSG00000162931	M1	0	71	12909	0	2	133	0.17314551425935	1	1.00579819670769	-0.409834097657142	2.42143049107252	0.163758158349046	0.769663344240517	1.00260571455415	-0.413113953953241	2.41832538306153	0.165125819596446	0.776091352103297
