Gene_symbol	Ensembl_ID	Mask	Breast_Eur_hom.alt	Breast_Eur_het	Breast_Eur_hom.ref	Breast_BP_hom.alt	Breast_BP_het	Breast_BP_hom.ref	fisher.p.val	adj.fisher.p.val	log.odds.ratio	lower.CI	upper.CI	p.val	adj.p.val	log.odds.ratio.sex	lower.CI.sex	upper.CI.sex	p.val.sex	adj.p.val.sex
ZNF155	ENSG00000204920	M1	0	1	2865	0	2	43	0.000694304979068497	1	4.89227069401511	2.4730011195394	7.31154026849082	7.38717351669833e-05	0.00251163899567743	4.89192159294689	2.4726519150952	7.31119127079858	7.39593932618959e-05	0.00251461937090446
FAAH	ENSG00000117480	M1	0	1	2865	0	1	44	0.0306834722186468	1	4.17613399523077	1.38838143755524	6.96388655290629	0.0033238563126386	0.0540990111214248	4.17578489416262	1.38803224818332	6.96353754014192	0.00332648821989386	0.054146783793969
CCNDBP1	ENSG00000166946	M1	0	2	2864	0	1	44	0.0456780558383361	1	3.48263771360279	1.06378770156397	5.9014877256416	0.00477344215777278	0.0540990111214248	3.48228849062036	1.06343837676274	5.90113860447797	0.0047776573935855	0.054146783793969
ZBTB10	ENSG00000205189	M1	4	180	2682	1	4	40	0.034116632496293	1	0.726713923734273	-0.10157487275797	1.55500272022652	0.085503484523373	0.72677961844867	0.726375614327683	-0.101923992034256	1.55467522068962	0.0856532849457748	0.728052922039086
TRIM17	ENSG00000162931	M1	0	18	2848	0	1	44	0.256906698051994	1	1.27981088071752	-0.75575486033556	3.3153766217706	0.217845190243957	0.98916298876855	1.2794596954638	-0.756106167512771	3.31502555844037	0.217971513816998	0.991151526646845
BRCA1	ENSG00000012048	M1	0	21	2845	0	1	44	0.291069343179499	1	1.12460627491878	-0.90345722022004	3.15266977005761	0.277105942861776	0.98916298876855	1.12425471928144	-0.903808898410954	3.15231833697384	0.277256175456927	0.991151526646845
PIF1	ENSG00000140451	M1	2	127	2737	0	1	44	0.729536456019971	1	-0.729069101060696	-2.7037790300333	1.24564082791191	0.469296079740176	0.98916298876855	-0.729429094560489	-2.70428170101807	1.24542351189709	0.469108802068381	0.991151526646845
LHPP	ENSG00000107902	M1	0	0	2866	0	1	44	0.0154586052902505	1	17.7425494678375	-1031.64409986196	1067.12919879764	0.973564400571142	0.98916298876855	18.7422017719131	-1711.40304673819	1748.88745028201	0.983060773739666	0.991151526646845
SREBF2	ENSG00000198911	M1	0	0	2866	0	1	44	0.0154586052902505	1	17.7425494678443	-1031.64409986426	1067.12919879995	0.97356440057119	0.98916298876855	18.7422017719275	-1711.40304674688	1748.88745029074	0.983060773739738	0.991151526646845
TMPRSS15	ENSG00000154646	M1	0	21	2845	0	0	45	1	1	-12.4194125656631	-1038.7028251875	1013.86400005617	0.981077383847024	0.98916298876855	-13.4197641852105	-1705.47497348632	1678.6354451159	0.987597734682123	0.991151526646845
TPRG1L	ENSG00000158109	M1	0	20	2846	0	0	45	1	1	-12.4190611335891	-1064.04661917864	1039.20849691146	0.98153385749554	0.98916298876855	-12.4194125656816	-1064.04697061442	1039.20814548306	0.981533335037734	0.991151526646845
SLC2A8	ENSG00000136856	M1	0	6	2860	0	0	45	1	1	-11.4141538347382	-1175.95335891697	1153.12505124749	0.984673215590541	0.98916298876855	-11.4145035462427	-1175.95370863255	1153.12470154007	0.984672746060083	0.991151526646845
SPATA31D1	ENSG00000214929	M1	0	12	2854	0	0	45	1	1	-12.4162541141914	-1370.06157239796	1345.22906416958	0.985698909237869	0.98916298876855	-12.416604561026	-1370.06192284217	1345.22871372012	0.985698505635016	0.991151526646845
