Ensembl_ID	Gene_symbol
ENSG00000006704	GTF2IRD1
ENSG00000012048	BRCA1
ENSG00000071575	TRIB2
ENSG00000077800	FKBP6
ENSG00000081277	PKP1
ENSG00000084444	FAM234B
ENSG00000100100	PIK3IP1
ENSG00000107518	ATRNL1
ENSG00000107902	LHPP
ENSG00000112303	VNN2
ENSG00000117480	FAAH
ENSG00000119013	NDUFB3
ENSG00000125744	RTN2
ENSG00000136731	UGGT1
ENSG00000136856	SLC2A8
ENSG00000137947	GTF2B
ENSG00000139437	TCHP
ENSG00000140451	PIF1
ENSG00000142197	DOP1B
ENSG00000143502	SUSD4
ENSG00000148356	LRSAM1
ENSG00000148396	SEC16A
ENSG00000154277	UCHL1
ENSG00000154646	TMPRSS15
ENSG00000158109	TPRG1L
ENSG00000162365	CYP4A22
ENSG00000162931	TRIM17
ENSG00000164985	PSIP1
ENSG00000165672	PRDX3
ENSG00000166819	PLIN1
ENSG00000166946	CCNDBP1
ENSG00000169777	TAS2R1
ENSG00000172037	LAMB2
ENSG00000173557	CIMIP2C
ENSG00000180448	ARHGAP45
ENSG00000182552	RWDD4
ENSG00000182628	SKA2
ENSG00000187583	PLEKHN1
ENSG00000189079	ARID2
ENSG00000196712	NF1
ENSG00000198369	SPRED2
ENSG00000198752	CDC42BPB
ENSG00000198911	SREBF2
ENSG00000204920 ZNF155
ENSG00000205189	ZBTB10
ENSG00000214929	SPATA31D1
ENSG00000240505	TNFRSF13B
ENSG00000242574	HLA-DMB
