,0.0,1.0
All_Cancer,41263,2199
Solid_Cancer,41263,1846
Digestive_Cancer,41263,445
Haematological_Cancer,41263,384
Breast_Cancer,22852,332
Gynaecological_Cancer,22852,284
Colorectal_Cancer,41263,202
Male_Genital_Cancer,18411,177
Urinary_Cancer,41263,175
Prostate_Cancer,18411,157
Lymphoma_Cancer,41263,152
Kidney_Cancer,41263,149
Bladder_Cancer,41263,135
Endocrine_Cancer,41263,129
Skin_Cancer,41263,122
Respiratory_Cancer,41263,116
Cervical_Cancer,22852,111
Lung_Cancer,41263,102
Non-Melanoma_Skin_Cancer,41263,96
Thyroid_Cancer,41263,93
Ovarian_Cancer,22852,90
Uterine_Cancer,22852,76
