Gene_symbol	Mask	cancer	comparison	mac	cohort	log.odds.ratio.sex	lower.CI.sex	upper.CI.sex	p.val.sex
FAAH	M3	All	Eur_v_BP	4|91	135|12980	1.46472055435516	0.448694518629878	2.48074659008043	0.0047204281913827
FAAH	M3	Solid	Eur_v_BP	4|87	125|11936	1.50802852616544	0.489744944630305	2.52631210770058	0.0037006543975142
FAM166C	M3	All	Eur_v_BP	7|37	135|12980	2.9439202125461	2.11695637486765	3.77088405022455	3.00899463657192e-12
FAM166C	M3	All	SA_v_BP	7|7	135|404	1.13130300350815	0.0625328064349595	2.20007320058135	0.0380199344848892
FAM166C	M3	Breast	Eur_v_BP	1|6	45|2866	2.38227808917599	0.24444005111324	4.52011612723874	0.0289574026236025
FAM166C	M3	Solid	Eur_v_BP	7|34	125|11936	3.02581148981659	2.1919108479426	3.85971213169057	1.1459197584947199e-12
FAM166C	M3	Solid	SA_v_BP	7|7	125|371	1.1256590044521	0.0544935999852614	2.19682440891893	0.039429754624641
LAMB2	M3	Solid	Eur_v_BP	8|382	125|11936	0.727017533514681	0.0035122052377722	1.45052286179159	0.0488981702091008
SEC16A	M2	All	Eur_v_BP	15|87	135|12980	2.92789254184102	2.35054518602177	3.50523989766027	2.80133257743731e-23
SEC16A	M2	All	SA_v_BP	15|22	135|404	0.759710366820605	0.0876587887686743	1.43176194487254	0.0267181458059774
SEC16A	M2	Breast	Eur_v_BP	9|19	45|2866	3.62293643836347	2.76440993019866	4.48146294652828	1.32902122755669e-16
SEC16A	M2	Solid	Eur_v_BP	15|81	125|11936	3.00889776057405	2.42569288570606	3.59210263544204	4.890735581243e-24
SEC16A	M2	Solid	SA_v_BP	15|20	125|371	0.847415018880156	0.160277856139676	1.53455218162064	0.0156432371939916
SREBF2	M3	All	Eur_v_BP	9|324	135|12980	1.01319197505328	0.33303193101215	1.69335201909442	0.0035044039678458
SREBF2	M3	Breast	Eur_v_BP	4|65	45|2866	1.43570972068324	0.379996625755228	2.49142281561125	0.0076887773376626
SREBF2	M3	Solid	Eur_v_BP	8|300	125|11936	0.970506660221105	0.245003964984771	1.69600935545744	0.0087454316181021
TMPRSS15	M3	All	Eur_v_BP	9|307	135|12980	1.08110373811055	0.395418383521955	1.76678909269914	0.0020000259707359
TMPRSS15	M3	All	SA_v_BP	9|5	135|404	1.70651355788066	0.592309350027875	2.82071776573344	0.0026831967473675
TMPRSS15	M3	Solid	Eur_v_BP	7|285	125|11936	0.885384132439115	0.113881420954977	1.65688684392325	0.0244950671126873
TMPRSS15	M3	Solid	SA_v_BP	7|5	125|371	1.42363866409684	0.253288865241815	2.59398846295187	0.0171189794731378
ZBTB10	M3	All	Eur_v_BP	7|153	135|12980	1.52736521949392	0.749877890698889	2.30485254828895	0.0001179599997863
ZBTB10	M3	Solid	Eur_v_BP	7|141	125|11936	1.61011015489059	0.82945111775119	2.39076919202998	5.29005693163278e-05
ZNF155	M1	All	Eur_v_BP	6|8	135|12980	4.3248003332561	3.25179488493686	5.39780578157534	2.7950913645017803e-15
ZNF155	M1	Breast	Eur_v_BP	2|1	45|2866	4.89192159294692	2.47265191509517	7.31119127079867	7.39593932619192e-05
ZNF155	M1	Solid	Eur_v_BP	5|5	125|11936	4.59166247217632	3.33827598994033	5.84504895441231	6.96389896102633e-13
