"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"TAS2R1.M3",NA,1.172906882257,0.505254436855951,3.23137221782317,0.020264280268213,"logistic",43462,232,43230,0.678620536761913,0.00297961437577654,0,"",TRUE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"TAS2R1.M3",NA,0.566477937838314,0.431046486410193,1.76205005970257,0.188781526811616,"logistic",43462,680,42782,0.678620536761913,0.00297961437577654,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"TAS2R1.M3",NA,0.282381745130724,0.421383922065391,1.32628492617229,0.502775319317447,"logistic",43462,808,42654,0.678620536761913,0.00297961437577654,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"TAS2R1.M3",NA,-0.333107079625741,0.997536515850925,0.71669344678068,0.738432599894105,"logistic",43462,233,43229,0.678620536761913,0.00297961437577654,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"TAS2R1.M3",NA,0.246766346308439,0.184356041059565,1.27988002914507,0.180723277632576,"logistic",43462,6519,36943,0.678620536761913,0.00297961437577654,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"TAS2R1.M3",NA,0.579427820819926,0.21219484723291,1.78501678905411,0.00632114035370041,"logistic",43462,4094,39368,0.678620536761913,0.00297961437577654,0,"",TRUE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"TAS2R1.M3",NA,0.582418284627629,0.30252287191228,1.79036280671002,0.0542038247161708,"logistic",43462,1360,42102,0.678620536761913,0.00297961437577654,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"TAS2R1.M3",NA,0.577001131183456,0.299499693368531,1.78069035888595,0.0540357362369523,"logistic",43462,1313,42149,0.678620536761913,0.00297961437577654,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"TAS2R1.M3",NA,0.0648764952191005,0.16300269940124,1.06702723328128,0.690623760379165,"logistic",43462,12224,31238,0.678620536761913,0.00297961437577654,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"TAS2R1.M3",NA,0.205705564674704,0.989537089034249,1.22839146890239,0.835322196535229,"logistic",43462,122,43340,0.678620536761913,0.00297961437577654,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
