"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"chr16_89284525_G_C_C",NA,-8.27255124013402,316.347917065278,0.000255432788883384,0.979137562291347,"logistic",43462,232,43230,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"chr16_89284525_G_C_C",NA,-8.75592720768138,197.615674873823,0.000157524869956042,0.964659008264067,"logistic",43462,680,42782,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"chr16_89284525_G_C_C",NA,-9.15737310870559,198.952103536685,0.000105439512710639,0.963287909998034,"logistic",43462,808,42654,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"chr16_89284525_G_C_C",NA,-9.02332619452999,326.725812365567,0.000120564437788706,0.977967282419798,"logistic",43462,233,43229,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"chr16_89284525_G_C_C",NA,0.0747559372344725,1.10523411092918,1.0776211115982,0.946073724037927,"logistic",43462,6519,36943,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"chr16_89284525_G_C_C",NA,0.874535135477476,1.12972533534878,2.39776040110612,0.438863935390544,"logistic",43462,4094,39368,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"chr16_89284525_G_C_C",NA,-8.62984815572448,119.66376823005,0.000178691776428523,0.942508423773014,"logistic",43462,1360,42102,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"chr16_89284525_G_C_C",NA,-8.76160619646592,119.971114007269,0.000156632823345067,0.941781476997108,"logistic",43462,1313,42149,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"chr16_89284525_G_C_C",NA,0.456520314266001,0.846400757217539,1.57857148438585,0.589633909836565,"logistic",43462,12224,31238,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"chr16_89284525_G_C_C",NA,-8.42926977904446,323.429992264983,0.000218380898490085,0.979207794329995,"logistic",43462,122,43340,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"chr16_89284525_G_C_C",NA,-8.30651885147817,323.883091059522,0.00024690205178085,0.979539170633894,"logistic",43462,123,43339,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"chr16_89284525_G_C_C",NA,-9.00562856005566,197.539368341462,0.000122717135784174,0.963637811379048,"logistic",43462,691,42771,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"chr16_89284525_G_C_C",NA,-9.15815125732636,199.200118906689,0.000105357497013588,0.963330472871118,"logistic",43462,712,42750,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"chr16_89284525_G_C_C",NA,-10.0403084402865,119.961230842064,4.36063210334348e-05,0.933297917055937,"logistic",43462,2200,41262,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"chr16_89284525_G_C_C",NA,-8.78270719422831,325.209977329402,0.000153362341058049,0.978454736210583,"logistic",43462,167,43295,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"chr16_89284525_G_C_C",NA,-8.51965081716969,323.349944052125,0.000199509078347251,0.978979704374586,"logistic",43462,131,43331,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"chr16_89284525_G_C_C",NA,-9.15635070665971,329.65786619084,0.000105547369411211,0.977841355034319,"logistic",43462,211,43251,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"chr16_89284525_G_C_C",NA,-8.61830552853943,331.881982696538,0.000180766298670566,0.979282876074779,"logistic",43462,109,43353,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"chr16_89284525_G_C_C",NA,-7.77794617277289,328.360014744754,0.000418871581631166,0.981102075175293,"logistic",43462,121,43341,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"chr16_89284525_G_C_C",NA,-9.49172347503397,329.40234128713,7.54739137216079e-05,0.977012149657502,"logistic",43462,276,43186,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"chr16_89284525_G_C_C",NA,-9.77767322711562,199.624655747803,5.67035790234705e-05,0.960935004593197,"logistic",43462,843,42619,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
747,"chr16_89284525_G_C_C",NA,-8.96632581298642,201.628941373018,0.000127636291290876,0.964530212393342,"logistic",43462,442,43020,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Congenital cardiac disease",15,"Congenital anomalies","mediumspringgreen",NA,"22"
751.21,"chr16_89284525_G_C_C",NA,-8.84520050985033,547.992824033035,0.000144071549559063,0.9871218341286,"logistic",43462,71,43391,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Cystic renal disease",15,"Congenital anomalies","mediumspringgreen",NA,"23"
704.1,"chr16_89284525_G_C_C",NA,-9.54243728484892,201.106936822602,7.17417792466083e-05,0.962154923887733,"logistic",43462,703,42759,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Alopecia",13,"Dermatologic","firebrick",NA,"24"
707,"chr16_89284525_G_C_C",NA,-9.52353641599628,199.953617131535,7.31106569447564e-05,0.962012136479428,"logistic",43462,912,42550,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Chronic ulcer of skin",13,"Dermatologic","firebrick",NA,"25"
685,"chr16_89284525_G_C_C",NA,0.354904576235694,0.768340507737586,1.42604456924784,0.64414547767259,"logistic",43462,12421,31041,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Dermatitis",13,"Dermatologic","firebrick",NA,"26"
705.3,"chr16_89284525_G_C_C",NA,-9.43128752140969,331.663826643155,8.01759052590603e-05,0.977314183632448,"logistic",43462,219,43243,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Hidradenitis suppurativa",13,"Dermatologic","firebrick",NA,"27"
695.7,"chr16_89284525_G_C_C",NA,-9.67120787891478,199.683333489671,6.30736240037577e-05,0.961371379515436,"logistic",43462,658,42804,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Lichen planus",13,"Dermatologic","firebrick",NA,"28"
696.4,"chr16_89284525_G_C_C",NA,1.36855688908618,1.08262310961657,3.92967564378154,0.206189821895753,"logistic",43462,1493,41969,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Psoriasis",13,"Dermatologic","firebrick",NA,"29"
695.3,"chr16_89284525_G_C_C",NA,-9.67096552350556,198.507111959153,6.30889120902142e-05,0.96114364540229,"logistic",43462,607,42855,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Rosacea",13,"Dermatologic","firebrick",NA,"30"
690.1,"chr16_89284525_G_C_C",NA,-10.2059153811684,122.430923852369,3.6951091127503e-05,0.933564815360288,"logistic",43462,2953,40509,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Seborrheic dermatitis",13,"Dermatologic","firebrick",NA,"31"
686,"chr16_89284525_G_C_C",NA,0.344863398284716,1.0874988158049,1.41179705259596,0.751155498343459,"logistic",43462,3119,40343,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Urticaria",13,"Dermatologic","firebrick",NA,"32"
694.1,"chr16_89284525_G_C_C",NA,-9.378111877447,202.182865979171,8.45547015480643e-05,0.963003945228566,"logistic",43462,564,42898,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Vitiligo",13,"Dermatologic","firebrick",NA,"33"
530.13,"chr16_89284525_G_C_C",NA,-8.0429770527018,328.977531363797,0.000321350846258722,0.980494935502633,"logistic",43462,106,43356,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Barretts oesophagus",10,"Digestive","chartreuse4",NA,"34"
574.1,"chr16_89284525_G_C_C",NA,1.66688806443816,0.877022083576097,5.29566236853793,0.0573514524164465,"logistic",43462,2501,40961,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Cholelithiasis",10,"Digestive","chartreuse4",NA,"35"
557.1,"chr16_89284525_G_C_C",NA,-8.34322243955886,321.038069525261,0.000238004151882893,0.979266698430608,"logistic",43462,147,43315,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Coeliac disease",10,"Digestive","chartreuse4",NA,"36"
563,"chr16_89284525_G_C_C",NA,0.0399208938227048,0.851872144307326,1.04072844288725,0.96262278272783,"logistic",43462,9707,33755,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Constipation",10,"Digestive","chartreuse4",NA,"37"
