"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"chr5_95414108_A_T_T",NA,-9.25467905562417,273.370357251016,9.56629907694052e-05,0.972993577796041,"logistic",43462,232,43230,0.0459141428170726,0.00027610326262022,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"chr5_95414108_A_T_T",NA,1.4181594976596,1.07579881845002,4.12951306324363,0.187423797223097,"logistic",43462,680,42782,0.0459141428170726,0.00027610326262022,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"chr5_95414108_A_T_T",NA,1.06817047487297,1.05380290843449,2.91005061607685,0.31075741975104,"logistic",43462,808,42654,0.0459141428170726,0.00027610326262022,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"chr5_95414108_A_T_T",NA,-10.0580036298185,288.174793654121,4.2841485826902e-05,0.972157534450202,"logistic",43462,233,43229,0.0459141428170726,0.00027610326262022,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"chr5_95414108_A_T_T",NA,0.218611254712073,0.602701362059052,1.24434744844352,0.716814781014172,"logistic",43462,6519,36943,0.0459141428170726,0.00027610326262022,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"chr5_95414108_A_T_T",NA,-0.727998594971769,1.07213346864536,0.482874450982989,0.497126060167724,"logistic",43462,4094,39368,0.0459141428170726,0.00027610326262022,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"chr5_95414108_A_T_T",NA,0.51613287839975,1.06555750777019,1.67553560509598,0.62811745305367,"logistic",43462,1360,42102,0.0459141428170726,0.00027610326262022,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"chr5_95414108_A_T_T",NA,-10.9983791518071,169.557803212435,1.67287936625754e-05,0.948281430330038,"logistic",43462,1313,42149,0.0459141428170726,0.00027610326262022,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"chr5_95414108_A_T_T",NA,0.0849213969834871,0.51418934424072,1.08863149361602,0.86882128583632,"logistic",43462,12224,31238,0.0459141428170726,0.00027610326262022,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"chr5_95414108_A_T_T",NA,-10.5118677119583,470.376254911696,2.7211586204499e-05,0.982170530963114,"logistic",43462,122,43340,0.0459141428170726,0.00027610326262022,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
