"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"chr6_26017655_T_G_G",NA,-8.74789476024739,272.886184447225,0.000158795275596209,0.974426646392868,"logistic",43462,232,43230,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"chr6_26017655_T_G_G",NA,-8.69350263148713,177.098634586331,0.000167671704294975,0.96084878464572,"logistic",43462,680,42782,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"chr6_26017655_T_G_G",NA,-9.18998401127917,179.202896469248,0.000102056496447427,0.959100361715426,"logistic",43462,808,42654,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"chr6_26017655_T_G_G",NA,-9.05531757446147,295.229754592269,0.000116768458110811,0.975531038912891,"logistic",43462,233,43229,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"chr6_26017655_T_G_G",NA,-0.0156625797889296,1.12672030907932,0.984459440532268,0.988908935052556,"logistic",43462,6519,36943,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"chr6_26017655_T_G_G",NA,0.577332454808797,1.17943064774597,1.78128044142001,0.624487062757476,"logistic",43462,4094,39368,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"chr6_26017655_T_G_G",NA,-9.61466125834535,175.715829329453,6.67429917740292e-05,0.956363842978995,"logistic",43462,1360,42102,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"chr6_26017655_T_G_G",NA,-9.65972380262965,178.320520835409,6.38021414819109e-05,0.956799270009546,"logistic",43462,1313,42149,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"chr6_26017655_T_G_G",NA,0.620098390563327,0.902400581512445,1.85911095182172,0.491978551370214,"logistic",43462,12224,31238,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"chr6_26017655_T_G_G",NA,-9.52889712880869,472.895016786424,7.2719780334036e-05,0.983923608497011,"logistic",43462,122,43340,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"chr6_26017655_T_G_G",NA,-8.5947854488046,292.812620233919,0.000185068330170895,0.976583447765403,"logistic",43462,123,43339,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"chr6_26017655_T_G_G",NA,-9.03580312302437,175.733237238694,0.000119069509370315,0.958992661593964,"logistic",43462,691,42771,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"chr6_26017655_T_G_G",NA,-9.09645267761949,179.034102266473,0.000112062626516329,0.959478124315928,"logistic",43462,712,42750,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"chr6_26017655_T_G_G",NA,-9.55121702059099,110.870738526852,7.11146623717491e-05,0.931349307276663,"logistic",43462,2200,41262,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"chr6_26017655_T_G_G",NA,-8.73566455747538,290.650757482356,0.000160749298708945,0.976022761134389,"logistic",43462,167,43295,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"chr6_26017655_T_G_G",NA,-8.04229574786925,294.168687954592,0.000321569858741884,0.978189302210989,"logistic",43462,131,43331,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"chr6_26017655_T_G_G",NA,-8.97758128401868,302.752367905453,0.000126207739305716,0.976343623920494,"logistic",43462,211,43251,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"chr6_26017655_T_G_G",NA,-8.41221244028196,306.813025672841,0.000222137846128416,0.978126308180629,"logistic",43462,109,43353,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"chr6_26017655_T_G_G",NA,-8.27275752439532,299.416942224162,0.000255380102553586,0.97795760744306,"logistic",43462,121,43341,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"chr6_26017655_T_G_G",NA,-9.2802459689318,304.570125662036,9.3248184487596e-05,0.975692233881693,"logistic",43462,276,43186,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"chr6_26017655_T_G_G",NA,-9.46720294289414,185.700227513811,7.73474504352691e-05,0.959340576367838,"logistic",43462,843,42619,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
747,"chr6_26017655_T_G_G",NA,-8.89936758361442,186.93589083181,0.000136475208354089,0.962029834188418,"logistic",43462,442,43020,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Congenital cardiac disease",15,"Congenital anomalies","mediumspringgreen",NA,"22"
751.21,"chr6_26017655_T_G_G",NA,-8.91743329799058,511.574525588382,0.000134031823421298,0.986092501308886,"logistic",43462,71,43391,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Cystic renal disease",15,"Congenital anomalies","mediumspringgreen",NA,"23"
704.1,"chr6_26017655_T_G_G",NA,-9.43495274664926,188.109051567833,7.98825803867363e-05,0.959997417023072,"logistic",43462,703,42759,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Alopecia",13,"Dermatologic","firebrick",NA,"24"
707,"chr6_26017655_T_G_G",NA,-9.46843839395484,182.592085473399,7.72519504505124e-05,0.958643681814885,"logistic",43462,912,42550,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Chronic ulcer of skin",13,"Dermatologic","firebrick",NA,"25"
685,"chr6_26017655_T_G_G",NA,1.42675736114002,0.740655505580673,4.16517112471119,0.0540614227096579,"logistic",43462,12421,31041,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Dermatitis",13,"Dermatologic","firebrick",NA,"26"
705.3,"chr6_26017655_T_G_G",NA,-9.16320879541679,311.438347556401,0.000104825992644058,0.976527848360177,"logistic",43462,219,43243,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Hidradenitis suppurativa",13,"Dermatologic","firebrick",NA,"27"
695.7,"chr6_26017655_T_G_G",NA,2.25101201053642,1.10103779206191,9.49734238513604,0.0409095337370025,"logistic",43462,658,42804,0.0153094123267422,9.20344208734066e-05,0,"",TRUE,FALSE,FALSE,"Lichen planus",13,"Dermatologic","firebrick",NA,"28"
696.4,"chr6_26017655_T_G_G",NA,1.40584074897076,1.07977028899097,4.07895467699536,0.192922770484288,"logistic",43462,1493,41969,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Psoriasis",13,"Dermatologic","firebrick",NA,"29"
695.3,"chr6_26017655_T_G_G",NA,-9.32969162191879,185.346868868958,8.87496013083793e-05,0.959854328301136,"logistic",43462,607,42855,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Rosacea",13,"Dermatologic","firebrick",NA,"30"
690.1,"chr6_26017655_T_G_G",NA,0.661080140911181,1.07500469976718,1.93688331182889,0.538584054571687,"logistic",43462,2953,40509,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Seborrheic dermatitis",13,"Dermatologic","firebrick",NA,"31"
686,"chr6_26017655_T_G_G",NA,0.589502053288621,1.07852034037904,1.80309034891223,0.58466450547835,"logistic",43462,3119,40343,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Urticaria",13,"Dermatologic","firebrick",NA,"32"
694.1,"chr6_26017655_T_G_G",NA,-9.32373243985769,187.840206815146,8.92800553066187e-05,0.960412051129335,"logistic",43462,564,42898,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Vitiligo",13,"Dermatologic","firebrick",NA,"33"
530.13,"chr6_26017655_T_G_G",NA,-8.98982229207529,494.436915407093,0.000124672246515307,0.985493710109028,"logistic",43462,106,43356,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Barretts oesophagus",10,"Digestive","chartreuse4",NA,"34"
574.1,"chr6_26017655_T_G_G",NA,1.88126318550674,0.864025630771679,6.56178838526313,0.0294564497870792,"logistic",43462,2501,40961,0.0153094123267422,9.20344208734066e-05,0,"",TRUE,FALSE,FALSE,"Cholelithiasis",10,"Digestive","chartreuse4",NA,"35"
557.1,"chr6_26017655_T_G_G",NA,-8.64386196175778,295.253708174834,0.000176205089206013,0.976644429020972,"logistic",43462,147,43315,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Coeliac disease",10,"Digestive","chartreuse4",NA,"36"
563,"chr6_26017655_T_G_G",NA,1.28990919338634,0.721067350525449,3.63245668968479,0.0736327513612016,"logistic",43462,9707,33755,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Constipation",10,"Digestive","chartreuse4",NA,"37"
555.1,"chr6_26017655_T_G_G",NA,-8.63170276204379,187.720122146163,0.000178360680651812,0.963324783023887,"logistic",43462,319,43143,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Crohns disease",10,"Digestive","chartreuse4",NA,"38"
562,"chr6_26017655_T_G_G",NA,-9.37612452108086,177.536710043471,8.47229089611475e-05,0.957881449844635,"logistic",43462,960,42502,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Diverticular disease",10,"Digestive","chartreuse4",NA,"39"
535,"chr6_26017655_T_G_G",NA,0.333633469970872,0.862678541898614,1.39603136237273,0.698947695507174,"logistic",43462,8550,34912,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Gastritis and duodenitis",10,"Digestive","chartreuse4",NA,"40"
530.11,"chr6_26017655_T_G_G",NA,0.206313955663622,0.850599362789984,1.22913903858721,0.808353034897813,"logistic",43462,9153,34309,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Gastro-oesophageal reflux disease",10,"Digestive","chartreuse4",NA,"41"
565.1,"chr6_26017655_T_G_G",NA,-9.61089453271467,108.099772751763,6.69948683890571e-05,0.929155320192255,"logistic",43462,2397,41065,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Gastrointestinal polyp",10,"Digestive","chartreuse4",NA,"42"
556.11,"chr6_26017655_T_G_G",NA,-8.82595468967251,484.89799207641,0.000146871178860604,0.985477967998079,"logistic",43462,81,43381,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Gastrointestinal angiodysplasia",10,"Digestive","chartreuse4",NA,"43"
564.1,"chr6_26017655_T_G_G",NA,-9.61890256874698,113.701917637736,6.64605134912734e-05,0.932581354551407,"logistic",43462,2150,41312,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Irritable bowel syndrome",10,"Digestive","chartreuse4",NA,"44"
573.2,"chr6_26017655_T_G_G",NA,-8.84529845046844,304.151280518216,0.000144057439793418,0.976799267924116,"logistic",43462,157,43305,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Liver failure and transplant",10,"Digestive","chartreuse4",NA,"45"
571,"chr6_26017655_T_G_G",NA,-9.33503395127987,297.48171553214,8.82767359334634e-05,0.974966336253182,"logistic",43462,269,43193,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Liver fibrosis, sclerosis and cirrhosis",10,"Digestive","chartreuse4",NA,"46"
571.4,"chr6_26017655_T_G_G",NA,1.09877780380482,0.85459623174005,3.00049658650529,0.198538209988861,"logistic",43462,4246,39216,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Fatty liver disease",10,"Digestive","chartreuse4",NA,"47"
530.12,"chr6_26017655_T_G_G",NA,0.846595514831193,1.10306905943626,2.33169510240542,0.442789674872268,"logistic",43462,2692,40770,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Oesophagitis and oesophageal ulcer",10,"Digestive","chartreuse4",NA,"48"
577,"chr6_26017655_T_G_G",NA,-8.7438191586471,186.0647575524,0.000159443782505777,0.962518472416455,"logistic",43462,401,43061,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Pancreatitis",10,"Digestive","chartreuse4",NA,"49"
531,"chr6_26017655_T_G_G",NA,-9.15850949282701,107.574296840966,0.000105319760977495,0.932152796194794,"logistic",43462,1582,41880,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Peptic ulcer",10,"Digestive","chartreuse4",NA,"50"
555.2,"chr6_26017655_T_G_G",NA,-8.75749423880916,187.357766486908,0.000157278216888413,0.962718781231225,"logistic",43462,399,43063,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Ulcerative colitis",10,"Digestive","chartreuse4",NA,"51"
255.2,"chr6_26017655_T_G_G",NA,-9.37847537324845,512.597644515732,8.45239718544545e-05,0.985402735794008,"logistic",43462,88,43374,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Adrenal insufficiency",3,"Endocrine/Metabolic","deeppink",NA,"52"
250.7,"chr6_26017655_T_G_G",NA,0.082391668742203,1.15339511739153,1.08588103220902,0.943052321700316,"logistic",43462,4935,38527,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Diabetic eye",3,"Endocrine/Metabolic","deeppink",NA,"53"
252.1,"chr6_26017655_T_G_G",NA,-8.40915029413042,296.252761204651,0.000222819107207211,0.977355045468638,"logistic",43462,130,43332,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Hyperparathyroidism",3,"Endocrine/Metabolic","deeppink",NA,"54"
