"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"chr17_59119357_T_A_A",NA,-10.5434761131485,256.590828580005,2.63649227989987e-05,0.967223652816488,"logistic",43462,232,43230,0.123975129681232,0.000747779669596429,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"chr17_59119357_T_A_A",NA,0.208087477557755,1.04417570935801,1.23132087778097,0.842040620156282,"logistic",43462,680,42782,0.123975129681232,0.000747779669596429,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"chr17_59119357_T_A_A",NA,-0.0215476665476817,1.02943688231392,0.97868282592571,0.98330029221362,"logistic",43462,808,42654,0.123975129681232,0.000747779669596429,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"chr17_59119357_T_A_A",NA,1.28918782922366,1.0210723476062,3.62983731048307,0.206739347659847,"logistic",43462,233,43229,0.123975129681232,0.000747779669596429,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"chr17_59119357_T_A_A",NA,0.0293725389511143,0.404655215736752,1.02980816667716,0.94213510465861,"logistic",43462,6519,36943,0.123975129681232,0.000747779669596429,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"chr17_59119357_T_A_A",NA,0.230353828203393,0.483320430396063,1.25904541690391,0.633642104211292,"logistic",43462,4094,39368,0.123975129681232,0.000747779669596429,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"chr17_59119357_T_A_A",NA,0.618656774326422,0.634181148321023,1.8564327582149,0.329302088397819,"logistic",43462,1360,42102,0.123975129681232,0.000747779669596429,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"chr17_59119357_T_A_A",NA,0.0975618658410293,0.753960396469255,1.10247964528404,0.89704178727215,"logistic",43462,1313,42149,0.123975129681232,0.000747779669596429,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"chr17_59119357_T_A_A",NA,-0.282183616610765,0.354940359668815,0.754135200069959,0.426603618780216,"logistic",43462,12224,31238,0.123975129681232,0.000747779669596429,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"chr17_59119357_T_A_A",NA,-11.4568957024347,455.247055564019,1.05762916099368e-05,0.979922296593545,"logistic",43462,122,43340,0.123975129681232,0.000747779669596429,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"chr17_59119357_T_A_A",NA,-11.4808654508667,461.894478195373,1.03257947277703e-05,0.980169795143772,"logistic",43462,123,43339,0.123975129681232,0.000747779669596429,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
