"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"HLA.DMB.M3",NA,-11.9135490360689,309.149528156945,6.69902184124914e-06,0.969259909033102,"logistic",43462,232,43230,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"HLA.DMB.M3",NA,0.110892995956997,0.736197388630223,1.11727534747858,0.880268041333356,"logistic",43462,680,42782,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"HLA.DMB.M3",NA,0.411805231640019,0.602865522179929,1.50954039698745,0.494556448939827,"logistic",43462,808,42654,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"HLA.DMB.M3",NA,-12.1258828466224,338.387722702743,5.41746346945211e-06,0.971414493368141,"logistic",43462,233,43229,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"HLA.DMB.M3",NA,0.644075153663981,0.259786000942837,1.90422509903435,0.0131657979438767,"logistic",43462,6519,36943,0.224966095607831,0.00136901201049192,0,"",TRUE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"HLA.DMB.M3",NA,0.46615634308438,0.328022354407126,1.59385616825946,0.155284344649367,"logistic",43462,4094,39368,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"HLA.DMB.M3",NA,0.168439892286169,0.533997045625054,1.18345708980685,0.752433479909226,"logistic",43462,1360,42102,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"HLA.DMB.M3",NA,-0.124295126071094,0.604966762891826,0.883119170928169,0.837214483676391,"logistic",43462,1313,42149,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"HLA.DMB.M3",NA,0.277872750155755,0.255194856558378,1.32031817623672,0.276213417979735,"logistic",43462,12224,31238,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"HLA.DMB.M3",NA,-11.2955000578296,331.052069159287,1.24287271662016e-05,0.972781451746024,"logistic",43462,122,43340,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"HLA.DMB.M3",NA,-11.5128231635455,335.952097697835,1.00010230665769e-05,0.972662453144873,"logistic",43462,123,43339,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"HLA.DMB.M3",NA,1.34277736545228,0.449113359807441,3.82966512809519,0.00279123047801903,"logistic",43462,691,42771,0.224966095607831,0.00136901201049192,0,"",TRUE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"HLA.DMB.M3",NA,0.0678107113056693,0.7263663736439,1.07016271960157,0.925620687705056,"logistic",43462,712,42750,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"HLA.DMB.M3",NA,0.430352123217322,0.356707524201376,1.53779892292738,0.227641509083212,"logistic",43462,2200,41262,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"HLA.DMB.M3",NA,-11.7365636821104,331.825749894328,7.99604365200812e-06,0.971784978031382,"logistic",43462,167,43295,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"HLA.DMB.M3",NA,-11.612699153389,331.729155803053,9.05042216396059e-06,0.972074503810832,"logistic",43462,131,43331,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"HLA.DMB.M3",NA,-12.0840938268643,344.063750816792,5.64865086167323e-06,0.971982721186809,"logistic",43462,211,43251,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"HLA.DMB.M3",NA,1.32490770315272,1.01380606385753,3.76183813317675,0.191258550875223,"logistic",43462,109,43353,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"HLA.DMB.M3",NA,1.25654763653626,1.02022260613275,3.51327143629218,0.218083348020749,"logistic",43462,121,43341,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"HLA.DMB.M3",NA,0.381018927299404,1.01135522968512,1.4637753104611,0.706366129610393,"logistic",43462,276,43186,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"HLA.DMB.M3",NA,0.973558584254967,0.427098730122768,2.64734852963686,0.0226391633164279,"logistic",43462,843,42619,0.224966095607831,0.00136901201049192,0,"",TRUE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
747,"HLA.DMB.M3",NA,0.975092123359182,0.590883223476424,2.65141145666203,0.0988962832277491,"logistic",43462,442,43020,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Congenital cardiac disease",15,"Congenital anomalies","mediumspringgreen",NA,"22"
751.21,"HLA.DMB.M3",NA,2.38277831296225,0.73235844769885,10.8349640059073,0.00113965279605348,"logistic",43462,71,43391,0.224966095607831,0.00136901201049192,0,"",TRUE,FALSE,FALSE,"Cystic renal disease",15,"Congenital anomalies","mediumspringgreen",NA,"23"
704.1,"HLA.DMB.M3",NA,0.139158074594013,0.715413583516787,1.14930576168685,0.845773306827697,"logistic",43462,703,42759,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Alopecia",13,"Dermatologic","firebrick",NA,"24"
707,"HLA.DMB.M3",NA,-0.311767759037302,0.721742288482774,0.732151544064662,0.665766497513307,"logistic",43462,912,42550,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Chronic ulcer of skin",13,"Dermatologic","firebrick",NA,"25"
685,"HLA.DMB.M3",NA,0.22146810617025,0.202951631180889,1.2479074470384,0.275169094324434,"logistic",43462,12421,31041,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Dermatitis",13,"Dermatologic","firebrick",NA,"26"
705.3,"HLA.DMB.M3",NA,0.597371775416259,1.00770887209486,1.81733615065667,0.553313708554332,"logistic",43462,219,43243,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Hidradenitis suppurativa",13,"Dermatologic","firebrick",NA,"27"
695.7,"HLA.DMB.M3",NA,0.137452358926623,0.718449779215296,1.1473470438253,0.84827647696954,"logistic",43462,658,42804,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Lichen planus",13,"Dermatologic","firebrick",NA,"28"
696.4,"HLA.DMB.M3",NA,0.669205587960004,0.392662015181149,1.95268546746645,0.0883289946721329,"logistic",43462,1493,41969,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Psoriasis",13,"Dermatologic","firebrick",NA,"29"
695.3,"HLA.DMB.M3",NA,-0.474687997250266,1.00720856655781,0.622079116584727,0.637433179494013,"logistic",43462,607,42855,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Rosacea",13,"Dermatologic","firebrick",NA,"30"
690.1,"HLA.DMB.M3",NA,-0.240734442454851,0.421336022941937,0.786050340273072,0.567755810778626,"logistic",43462,2953,40509,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Seborrheic dermatitis",13,"Dermatologic","firebrick",NA,"31"
686,"HLA.DMB.M3",NA,0.23853136455531,0.335157759074391,1.26938351906164,0.476651330120144,"logistic",43462,3119,40343,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Urticaria",13,"Dermatologic","firebrick",NA,"32"
694.1,"HLA.DMB.M3",NA,-0.322411795865425,1.00627046369373,0.724399824048661,0.748663062195985,"logistic",43462,564,42898,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Vitiligo",13,"Dermatologic","firebrick",NA,"33"
530.13,"HLA.DMB.M3",NA,-11.3423688065456,336.684878954496,1.18596484493007e-05,0.973125643558159,"logistic",43462,106,43356,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Barretts oesophagus",10,"Digestive","chartreuse4",NA,"34"
574.1,"HLA.DMB.M3",NA,-0.176877479512258,0.428605217827848,0.83788243599914,0.679839920381379,"logistic",43462,2501,40961,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Cholelithiasis",10,"Digestive","chartreuse4",NA,"35"
557.1,"HLA.DMB.M3",NA,-12.2099218627439,338.463047571084,4.98079090763335e-06,0.971222868792617,"logistic",43462,147,43315,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Coeliac disease",10,"Digestive","chartreuse4",NA,"36"
563,"HLA.DMB.M3",NA,0.0419592590650238,0.230190798502355,1.04285199112012,0.8553627196348,"logistic",43462,9707,33755,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Constipation",10,"Digestive","chartreuse4",NA,"37"
555.1,"HLA.DMB.M3",NA,1.65225895839731,0.514089183711709,5.21875547332495,0.0013092067202677,"logistic",43462,319,43143,0.224966095607831,0.00136901201049192,0,"",TRUE,FALSE,FALSE,"Crohns disease",10,"Digestive","chartreuse4",NA,"38"
562,"HLA.DMB.M3",NA,-0.184787757790968,0.725240593104848,0.831280697981866,0.798881351144136,"logistic",43462,960,42502,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Diverticular disease",10,"Digestive","chartreuse4",NA,"39"
535,"HLA.DMB.M3",NA,0.054263632292547,0.246591272280628,1.05576289866286,0.825828352539758,"logistic",43462,8550,34912,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Gastritis and duodenitis",10,"Digestive","chartreuse4",NA,"40"
530.11,"HLA.DMB.M3",NA,0.178220518783594,0.23037955714776,1.19508883171468,0.439170213577074,"logistic",43462,9153,34309,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Gastro-oesophageal reflux disease",10,"Digestive","chartreuse4",NA,"41"
565.1,"HLA.DMB.M3",NA,-0.0213368712918495,0.433829245668206,0.978889149367617,0.960773739034525,"logistic",43462,2397,41065,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Gastrointestinal polyp",10,"Digestive","chartreuse4",NA,"42"
556.11,"HLA.DMB.M3",NA,-12.1335642729183,546.900583971813,5.37600904149968e-06,0.982299544506275,"logistic",43462,81,43381,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Gastrointestinal angiodysplasia",10,"Digestive","chartreuse4",NA,"43"
564.1,"HLA.DMB.M3",NA,0.0904734938005726,0.421652912089815,1.09469249111961,0.83010364257998,"logistic",43462,2150,41312,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Irritable bowel syndrome",10,"Digestive","chartreuse4",NA,"44"
573.2,"HLA.DMB.M3",NA,-11.7972714526726,349.172109662885,7.52506241755109e-06,0.973047474390013,"logistic",43462,157,43305,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Liver failure and transplant",10,"Digestive","chartreuse4",NA,"45"
571,"HLA.DMB.M3",NA,-11.3044076724726,207.931556263751,1.23185084756925e-05,0.956643564222113,"logistic",43462,269,43193,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Liver fibrosis, sclerosis and cirrhosis",10,"Digestive","chartreuse4",NA,"46"
571.4,"HLA.DMB.M3",NA,-0.470739609313368,0.395724596629496,0.624540181687042,0.234217926349135,"logistic",43462,4246,39216,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Fatty liver disease",10,"Digestive","chartreuse4",NA,"47"
530.12,"HLA.DMB.M3",NA,0.14507967891826,0.375286734855631,1.15613168592024,0.699064536736815,"logistic",43462,2692,40770,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Oesophagitis and oesophageal ulcer",10,"Digestive","chartreuse4",NA,"48"
577,"HLA.DMB.M3",NA,0.672173476932053,0.71980094153781,1.95848942962859,0.350390327691483,"logistic",43462,401,43061,0.224966095607831,0.00136901201049192,0,"",FALSE,FALSE,FALSE,"Pancreatitis",10,"Digestive","chartreuse4",NA,"49"
