"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"SKA2.M3",NA,-13.0429383992808,388.204690494865,2.16532866594557e-06,0.973197640706939,"logistic",43462,232,43230,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"SKA2.M3",NA,-1.14468739834275,1.0138324166446,0.318323410664505,0.258868458774741,"logistic",43462,680,42782,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"SKA2.M3",NA,-0.275809836610739,0.594574998316795,0.75895724292098,0.642735667153815,"logistic",43462,808,42654,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"SKA2.M3",NA,-0.141823372638958,1.01022809541758,0.867774515673315,0.88835385245403,"logistic",43462,233,43229,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"SKA2.M3",NA,-0.0408832178307907,0.220443873906892,0.95994122742103,0.852869329431043,"logistic",43462,6519,36943,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"SKA2.M3",NA,0.244097553710229,0.251570372381628,1.27646884868793,0.331899311890972,"logistic",43462,4094,39368,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"SKA2.M3",NA,-0.150205862685596,0.436099551785002,0.860530807006429,0.730522768556121,"logistic",43462,1360,42102,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"SKA2.M3",NA,-0.33849252902708,0.469786612566681,0.712844105007998,0.471202428574975,"logistic",43462,1313,42149,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"SKA2.M3",NA,0.13794835400799,0.187560336054687,1.14791626346906,0.462042418397908,"logistic",43462,12224,31238,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"SKA2.M3",NA,1.10502006933372,0.726340391726661,3.01928506323804,0.12817129898094,"logistic",43462,122,43340,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"SKA2.M3",NA,1.14746433417013,0.725566229050665,3.15019493222893,0.1137696338294,"logistic",43462,123,43339,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"SKA2.M3",NA,-1.2999203221606,1.01025097129305,0.272553508643564,0.198188381761041,"logistic",43462,691,42771,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"SKA2.M3",NA,-0.59569278398455,0.719481081979863,0.551180584486289,0.407700058861453,"logistic",43462,712,42750,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"SKA2.M3",NA,0.428769328557056,0.261380265517676,1.53536682826458,0.100921118304511,"logistic",43462,2200,41262,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"SKA2.M3",NA,-12.9392038614211,415.95799400105,2.40201194490044e-06,0.975184209975101,"logistic",43462,167,43295,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"SKA2.M3",NA,-12.5256954597083,411.838653262126,3.63211490927918e-06,0.975736812518789,"logistic",43462,131,43331,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"SKA2.M3",NA,0.617833739569722,0.72048566638011,1.85490547811992,0.391155365278941,"logistic",43462,211,43251,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"SKA2.M3",NA,0.550046989306106,1.01101082287642,1.73333446413755,0.586402607313403,"logistic",43462,109,43353,0.382964604153574,0.00239289494270857,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
