"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"ARID2.M3",NA,-0.20289466726543,0.323298750339587,0.816364226773405,0.530281469977798,"logistic",43462,232,43230,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"ARID2.M3",NA,-0.0416862928807833,0.182893621075854,0.959170632036208,0.8197034235581,"logistic",43462,680,42782,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"ARID2.M3",NA,-0.0529932131176307,0.165214142531648,0.948386449047726,0.748396289201199,"logistic",43462,808,42654,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"ARID2.M3",NA,-0.776416944228689,0.412862989807146,0.460051451701602,0.0600307024760849,"logistic",43462,233,43229,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"ARID2.M3",NA,-0.0239000887784169,0.0670899884517916,0.976383256528713,0.721661382228128,"logistic",43462,6519,36943,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"ARID2.M3",NA,-0.000183732486179685,0.0823770953295478,0.9998162843916,0.998220413187546,"logistic",43462,4094,39368,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"ARID2.M3",NA,-0.227326221444545,0.139446558945541,0.796660852041069,0.103058565685208,"logistic",43462,1360,42102,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"ARID2.M3",NA,-0.0560002779231447,0.131543685272716,0.945538873103223,0.670314655556739,"logistic",43462,1313,42149,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"ARID2.M3",NA,-0.0572045117128874,0.0577074026525702,0.94440090856791,0.321546189384571,"logistic",43462,12224,31238,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"ARID2.M3",NA,-0.545163037650109,0.506273345069514,0.579747255004104,0.281562652993396,"logistic",43462,122,43340,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"ARID2.M3",NA,-0.849130619787119,0.582801494952242,0.427786679604867,0.145121665340456,"logistic",43462,123,43339,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"ARID2.M3",NA,-0.225335166870971,0.189626570811293,0.798248627423296,0.234711265099786,"logistic",43462,691,42771,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"ARID2.M3",NA,0.192261123127732,0.155954899026304,1.21198695347272,0.217650574150721,"logistic",43462,712,42750,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"ARID2.M3",NA,0.0219914155112418,0.0953611194271453,1.02223500906783,0.817616268358933,"logistic",43462,2200,41262,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"ARID2.M3",NA,0.385305676752318,0.284194077425628,1.47006361704019,0.175168022592505,"logistic",43462,167,43295,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"ARID2.M3",NA,0.0252261320977879,0.386439114035091,1.02554700340062,0.94795232958347,"logistic",43462,131,43331,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"ARID2.M3",NA,-0.511052457187066,0.38282763540647,0.599863915382208,0.18189552852262,"logistic",43462,211,43251,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"ARID2.M3",NA,0.412291949786413,0.341387978705174,1.51027529652134,0.227165284081094,"logistic",43462,109,43353,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"ARID2.M3",NA,0.373918976595597,0.342746365147339,1.45341938469945,0.275295103114477,"logistic",43462,121,43341,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"ARID2.M3",NA,-0.1151256221952,0.281902208329442,0.891254175568109,0.682988469245153,"logistic",43462,276,43186,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"ARID2.M3",NA,-0.29377968683481,0.175029827151969,0.745440703754463,0.0932583101710625,"logistic",43462,843,42619,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
747,"ARID2.M3",NA,-0.316896768882601,0.239508778969685,0.728405945404311,0.185798371595254,"logistic",43462,442,43020,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Congenital cardiac disease",15,"Congenital anomalies","mediumspringgreen",NA,"22"
751.21,"ARID2.M3",NA,0.0556571883406546,0.507657002927832,1.05723518905698,0.912698519483099,"logistic",43462,71,43391,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Cystic renal disease",15,"Congenital anomalies","mediumspringgreen",NA,"23"
704.1,"ARID2.M3",NA,-0.0591075033130323,0.166216522849316,0.942605430503415,0.722136053005785,"logistic",43462,703,42759,0.340479218074897,0.0277713864985505,0,"",FALSE,FALSE,FALSE,"Alopecia",13,"Dermatologic","firebrick",NA,"24"
