"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"NF1.M2",NA,-12.8453078348071,352.132008179878,2.63847928599239e-06,0.97090068510278,"logistic",43462,232,43230,0.73216425007334,0.00283005844185725,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"NF1.M2",NA,0.0726925965149793,0.514017921948098,1.07539990442011,0.887537875647367,"logistic",43462,680,42782,0.73216425007334,0.00283005844185725,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"NF1.M2",NA,-0.403971389570916,0.58727930557121,0.667663223126969,0.491535107204038,"logistic",43462,808,42654,0.73216425007334,0.00283005844185725,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"NF1.M2",NA,-0.164539626395706,0.993605431080683,0.848284141835245,0.868472882341743,"logistic",43462,233,43229,0.73216425007334,0.00283005844185725,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"NF1.M2",NA,0.156287797791283,0.199114573860926,1.16916263709967,0.432504048565327,"logistic",43462,6519,36943,0.73216425007334,0.00283005844185725,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"NF1.M2",NA,0.159760347979189,0.24688996882102,1.17322967043662,0.51757286322844,"logistic",43462,4094,39368,0.73216425007334,0.00283005844185725,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"NF1.M2",NA,0.254608654977692,0.359110235500584,1.28995670394589,0.478325344309595,"logistic",43462,1360,42102,0.73216425007334,0.00283005844185725,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"NF1.M2",NA,-0.92174395932507,0.592361139239041,0.397824645761191,0.119696039218424,"logistic",43462,1313,42149,0.73216425007334,0.00283005844185725,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"NF1.M2",NA,-0.0348630852915225,0.176924697208266,0.965737630892495,0.843788084405357,"logistic",43462,12224,31238,0.73216425007334,0.00283005844185725,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"NF1.M2",NA,-12.3829895457668,375.307789084839,4.18924703358819e-06,0.973679193112594,"logistic",43462,122,43340,0.73216425007334,0.00283005844185725,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
