"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"chr1_9596953_C_A_A",NA,-9.51292762343077,288.766416615581,7.38904014996184e-05,0.973719778449409,"logistic",43462,232,43230,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"chr1_9596953_C_A_A",NA,2.79087240448812,1.21543046790868,16.2952296339942,0.0216644032211229,"logistic",43462,680,42782,0.0133957743414012,8.05301182642308e-05,0,"",TRUE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"chr1_9596953_C_A_A",NA,-9.51956699378215,186.980654786873,7.34014407505655e-05,0.959395609638978,"logistic",43462,808,42654,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"chr1_9596953_C_A_A",NA,-9.46375336752601,309.380221336342,7.76147270254092e-05,0.975597000861106,"logistic",43462,233,43229,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"chr1_9596953_C_A_A",NA,0.915586465873758,0.986967805454454,2.49823995484174,0.353575598379457,"logistic",43462,6519,36943,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"chr1_9596953_C_A_A",NA,1.50706198840694,1.08248567918724,4.51345072481367,0.163854732177815,"logistic",43462,4094,39368,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"chr1_9596953_C_A_A",NA,-10.1091883459579,183.172865590912,4.07038308462791e-05,0.955987626711753,"logistic",43462,1360,42102,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"chr1_9596953_C_A_A",NA,-10.0741381175387,185.786416996438,4.21558068144127e-05,0.95675646182062,"logistic",43462,1313,42149,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"chr1_9596953_C_A_A",NA,-1.5931595004029,1.21505907733757,0.203282325448547,0.189797419331021,"logistic",43462,12224,31238,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"chr1_9596953_C_A_A",NA,-9.03507369579019,302.0304580946,0.000119156393597219,0.976135285115699,"logistic",43462,122,43340,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"chr1_9596953_C_A_A",NA,-8.72518130692715,310.84613971395,0.000162443337886993,0.97760701351641,"logistic",43462,123,43339,0.0133957743414012,8.05301182642308e-05,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
