"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"chr9_127496058_A_G_G",NA,3.462467059606,1.29876464948014,31.8955677970396,0.00767666366994063,"logistic",43460,232,43228,0.0191369854729425,0.000115048320294524,2,"",TRUE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"chr9_127496058_A_G_G",NA,-10.3010600435911,250.277888345956,3.35974615286697e-05,0.967169545541479,"logistic",43460,680,42780,0.0191369854729425,0.000115048320294524,2,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"chr9_127496058_A_G_G",NA,-9.57764628005987,156.204497487411,6.92597741386688e-05,0.951108510618172,"logistic",43460,808,42652,0.0191369854729425,0.000115048320294524,2,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"chr9_127496058_A_G_G",NA,-9.33004653044391,261.978837816736,8.87181089070654e-05,0.971590351378103,"logistic",43460,233,43227,0.0191369854729425,0.000115048320294524,2,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"chr9_127496058_A_G_G",NA,-0.774510881979983,1.1898843947771,0.460929174637694,0.515102833086638,"logistic",43460,6519,36941,0.0191369854729425,0.000115048320294524,2,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"chr9_127496058_A_G_G",NA,-10.49555671809,87.1175389040827,2.76590737827255e-05,0.904106234941019,"logistic",43460,4094,39366,0.0191369854729425,0.000115048320294524,2,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"chr9_127496058_A_G_G",NA,-10.1988918804833,151.165429751188,3.72115306693898e-05,0.946208806247743,"logistic",43460,1360,42100,0.0191369854729425,0.000115048320294524,2,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"chr9_127496058_A_G_G",NA,-10.2034235531376,153.105232520595,3.70432817059746e-05,0.94686574875275,"logistic",43460,1313,42147,0.0191369854729425,0.000115048320294524,2,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"chr9_127496058_A_G_G",NA,-0.90401538867915,1.07014196535516,0.404940397780701,0.398243671580095,"logistic",43460,12223,31237,0.0191369854729425,0.000115048320294524,2,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"chr9_127496058_A_G_G",NA,-9.79474907866621,422.126723063252,5.57435372190249e-05,0.981488075902236,"logistic",43460,122,43338,0.0191369854729425,0.000115048320294524,2,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"chr9_127496058_A_G_G",NA,-9.62859007168386,435.681818831639,6.58197856091562e-05,0.982368146425089,"logistic",43460,123,43337,0.0191369854729425,0.000115048320294524,2,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"chr9_127496058_A_G_G",NA,-9.3745349540827,154.221389585489,8.48576887936275e-05,0.951529466742862,"logistic",43460,691,42769,0.0191369854729425,0.000115048320294524,2,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
