"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"LAMB2.M3",NA,0.170328406024199,0.221755340196414,1.18569417649892,0.442432788543335,"logistic",43462,232,43230,0.999997097040325,0.0439579402696609,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"LAMB2.M3",NA,-0.0296235482930759,0.145133480710106,0.970810928198494,0.838265636386834,"logistic",43462,680,42782,0.999997097040325,0.0439579402696609,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"LAMB2.M3",NA,0.0818999887161653,0.12529975117287,1.08534725742879,0.513348605045147,"logistic",43462,808,42654,0.999997097040325,0.0439579402696609,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"LAMB2.M3",NA,-0.167153071247052,0.246003685769598,0.84607009242049,0.496837671823569,"logistic",43462,233,43229,0.999997097040325,0.0439579402696609,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"LAMB2.M3",NA,0.0399884418570074,0.0529148477304636,1.04079874442215,0.449821248017646,"logistic",43462,6519,36943,0.999997097040325,0.0439579402696609,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"LAMB2.M3",NA,0.0235182399318215,0.0655642264426156,1.02379697456334,0.719815512688907,"logistic",43462,4094,39368,0.999997097040325,0.0439579402696609,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"LAMB2.M3",NA,0.0699024624826205,0.100573410888969,1.07240357657037,0.487030739167981,"logistic",43462,1360,42102,0.999997097040325,0.0439579402696609,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"LAMB2.M3",NA,0.0886149000736031,0.100455360926354,1.09265979208863,0.377705366628927,"logistic",43462,1313,42149,0.999997097040325,0.0439579402696609,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"LAMB2.M3",NA,0.00969426849024296,0.0455621491140763,1.00974141012243,0.831506192876718,"logistic",43462,12224,31238,0.999997097040325,0.0439579402696609,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"LAMB2.M3",NA,-0.117621496739595,0.330259173837216,0.889032490635469,0.721728932683944,"logistic",43462,122,43340,0.999997097040325,0.0439579402696609,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
