"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"chr19_43997046_G_GA_GA",NA,-9.58283470188501,260.114841776915,6.89013558316503e-05,0.970611955174582,"logistic",43455,232,43223,0.0420940978276545,0.000253135427453688,7,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"chr19_43997046_G_GA_GA",NA,1.98258496425359,1.08166745964987,7.2614894358894,0.0668179006497385,"logistic",43455,680,42775,0.0420940978276545,0.000253135427453688,7,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"chr19_43997046_G_GA_GA",NA,1.49815999982896,1.07085621035592,4.47345034363576,0.161803976984533,"logistic",43455,808,42647,0.0420940978276545,0.000253135427453688,7,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"chr19_43997046_G_GA_GA",NA,2.51886983367088,1.0660305425845,12.4145582164944,0.0181350280330683,"logistic",43455,233,43222,0.0420940978276545,0.000253135427453688,7,"",TRUE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"chr19_43997046_G_GA_GA",NA,0.35209840638698,0.680884810915523,1.42204845548399,0.605073158860024,"logistic",43455,6519,36936,0.0420940978276545,0.000253135427453688,7,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"chr19_43997046_G_GA_GA",NA,0.563323019808131,0.857400692636908,1.75649969627375,0.511172843613849,"logistic",43455,4094,39361,0.0420940978276545,0.000253135427453688,7,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"chr19_43997046_G_GA_GA",NA,-10.5256226931843,170.866444804743,2.68398537942358e-05,0.950880213177265,"logistic",43455,1360,42095,0.0420940978276545,0.000253135427453688,7,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"chr19_43997046_G_GA_GA",NA,-10.5635378591182,173.489381748286,2.58412667060819e-05,0.951447872067218,"logistic",43455,1313,42142,0.0420940978276545,0.000253135427453688,7,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"chr19_43997046_G_GA_GA",NA,1.22764412492836,0.532403051893165,3.41317903362349,0.021118747798689,"logistic",43455,12222,31233,0.0420940978276545,0.000253135427453688,7,"",TRUE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"chr19_43997046_G_GA_GA",NA,3.07010420307542,1.1054846785399,21.5441475244696,0.00548367313106494,"logistic",43455,122,43333,0.0420940978276545,0.000253135427453688,7,"",TRUE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"chr19_43997046_G_GA_GA",NA,-9.30070467748321,291.951048426757,9.13598295747818e-05,0.974586035268365,"logistic",43455,123,43332,0.0420940978276545,0.000253135427453688,7,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"chr19_43997046_G_GA_GA",NA,-9.81591561811672,171.390327765018,5.45760389766247e-05,0.954328297841612,"logistic",43455,691,42764,0.0420940978276545,0.000253135427453688,7,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"chr19_43997046_G_GA_GA",NA,1.54685517457029,1.05997726386601,4.69667670499367,0.144474677436991,"logistic",43455,712,42743,0.0420940978276545,0.000253135427453688,7,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"chr19_43997046_G_GA_GA",NA,0.0436840316757417,1.03975839305695,1.04465222572282,0.966487826976111,"logistic",43455,2199,41256,0.0420940978276545,0.000253135427453688,7,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
