"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"chr12_118138143_A_C_C",NA,-8.83809136748197,282.867210207198,0.000145099424040066,0.975074419358756,"logistic",43451,232,43219,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"chr12_118138143_A_C_C",NA,-9.57274321664384,170.027552236967,6.960019306928e-05,0.955101919148677,"logistic",43451,680,42771,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"chr12_118138143_A_C_C",NA,-9.81884039866487,173.984141334949,5.44166492430501e-05,0.954995067614313,"logistic",43451,808,42643,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"chr12_118138143_A_C_C",NA,-9.35503110755461,297.473462508267,8.65289855101433e-05,0.974912031957897,"logistic",43451,233,43218,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"chr12_118138143_A_C_C",NA,-0.715368994384994,1.19666705305787,0.48901163595323,0.549972593194796,"logistic",43451,6519,36932,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"chr12_118138143_A_C_C",NA,0.0669320208107085,1.16876607518895,1.06922279080552,0.954332307015491,"logistic",43451,4094,39357,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"chr12_118138143_A_C_C",NA,-10.3844197498333,170.254490593151,3.09103416188032e-05,0.951364374077141,"logistic",43451,1360,42091,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"chr12_118138143_A_C_C",NA,-10.4771952343604,170.413275686007,2.81716266310891e-05,0.950976067856908,"logistic",43451,1313,42138,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"chr12_118138143_A_C_C",NA,0.832735399508915,0.942135897449586,2.29960047082456,0.376760809895838,"logistic",43451,12222,31229,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"chr12_118138143_A_C_C",NA,-8.88016328535503,291.900254943965,0.000139121447212122,0.975730571286783,"logistic",43451,122,43329,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"chr12_118138143_A_C_C",NA,-9.06687712233605,292.790319846698,0.00011542643903959,0.975295750217621,"logistic",43451,123,43328,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"chr12_118138143_A_C_C",NA,-9.71951340866435,172.033532000894,6.00992372011427e-05,0.954945260462947,"logistic",43451,691,42760,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"chr12_118138143_A_C_C",NA,-9.65305055044228,176.604572636988,6.42293330553474e-05,0.956410038060964,"logistic",43451,712,42739,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"chr12_118138143_A_C_C",NA,-9.85434977520674,107.638865472101,5.25182528631819e-05,0.927055492822526,"logistic",43451,2200,41251,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"chr12_118138143_A_C_C",NA,-9.30660449674813,288.013181723158,9.08224099902938e-05,0.974222346438306,"logistic",43451,167,43284,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"chr12_118138143_A_C_C",NA,-8.64993586724035,287.923188781331,0.000175138079885876,0.976033148748813,"logistic",43451,131,43320,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"chr12_118138143_A_C_C",NA,-9.52311764199282,294.516307831173,7.31412801989245e-05,0.974205079708026,"logistic",43451,211,43240,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"chr12_118138143_A_C_C",NA,-8.77134416925529,308.80059134218,0.000155114939722933,0.97733948926748,"logistic",43451,109,43342,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"chr12_118138143_A_C_C",NA,-8.74955495919034,298.872933136325,0.000158531862567039,0.976645132462036,"logistic",43451,121,43330,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"chr12_118138143_A_C_C",NA,-9.74967515007168,293.632558503656,5.83136038243806e-05,0.97351218079911,"logistic",43451,276,43175,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"chr12_118138143_A_C_C",NA,-9.71858844157841,181.845668583194,6.01548527347475e-05,0.957378023352328,"logistic",43451,843,42608,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
747,"chr12_118138143_A_C_C",NA,-9.23426804601756,185.119962605106,9.76356323111313e-05,0.960215930317149,"logistic",43451,442,43009,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Congenital cardiac disease",15,"Congenital anomalies","mediumspringgreen",NA,"22"
751.21,"chr12_118138143_A_C_C",NA,-9.17684418573124,504.263531154681,0.000103406350005385,0.985480492440935,"logistic",43451,71,43380,0.0153113501786779,9.20577201905595e-05,11,"",FALSE,FALSE,FALSE,"Cystic renal disease",15,"Congenital anomalies","mediumspringgreen",NA,"23"
