"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"chr1_186444465_C_G_G",NA,-10.0499477525983,284.493751327051,4.31880054624671e-05,0.971820011305054,"logistic",43462,232,43230,1,0.000207077446965165,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"chr1_186444465_C_G_G",NA,1.42755515281069,1.11367910525516,4.16849538940044,0.199899809864053,"logistic",43462,680,42782,1,0.000207077446965165,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"chr1_186444465_C_G_G",NA,1.19570709019547,1.04254150176423,3.30589450985673,0.251416513284873,"logistic",43462,808,42654,1,0.000207077446965165,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"chr1_186444465_C_G_G",NA,2.22591045437794,0.940145512960863,9.26191151423279,0.0179027518941529,"logistic",43462,233,43229,1,0.000207077446965165,0,"",TRUE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"chr1_186444465_C_G_G",NA,0.745963936268461,0.61755143165528,2.10847288921621,0.227071052307308,"logistic",43462,6519,36943,1,0.000207077446965165,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"chr1_186444465_C_G_G",NA,1.18554902166045,0.763368721357313,3.27248299239874,0.120411431188812,"logistic",43462,4094,39368,1,0.000207077446965165,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"chr1_186444465_C_G_G",NA,1.63360616728128,0.819406637435876,5.12231337100508,0.0461908343391289,"logistic",43462,1360,42102,1,0.000207077446965165,0,"",TRUE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"chr1_186444465_C_G_G",NA,-10.945460705402,183.490947249921,1.76378974723018e-05,0.952433415305577,"logistic",43462,1313,42149,1,0.000207077446965165,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"chr1_186444465_C_G_G",NA,0.392976562821966,0.638428245314464,1.4813836694696,0.53819977405248,"logistic",43462,12224,31238,1,0.000207077446965165,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"chr1_186444465_C_G_G",NA,-9.52757567898316,300.249909718566,7.28159393957659e-05,0.974685654453077,"logistic",43462,122,43340,1,0.000207077446965165,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
