"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"TPRG1L.M2",NA,-5.78019923398223,276.221276011048,0.00308810009246394,0.983304706920155,"logistic",43462,232,43230,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"TPRG1L.M2",NA,-7.28899138284176,177.442418566093,0.000683016607723742,0.967233660629819,"logistic",43462,680,42782,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"TPRG1L.M2",NA,-7.90614128473962,181.44653713968,0.000368473675888142,0.96524490011646,"logistic",43462,808,42654,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"TPRG1L.M2",NA,-7.92648362247828,304.081536944272,0.000361053784758523,0.979203924007235,"logistic",43462,233,43229,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"TPRG1L.M2",NA,1.21720264538095,1.09859267167311,3.37772580871887,0.267876768246196,"logistic",43462,6519,36943,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"TPRG1L.M2",NA,-7.73837739824605,102.523272691798,0.000435778096025598,0.939833424633719,"logistic",43462,4094,39368,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"TPRG1L.M2",NA,3.52434362758012,1.12537434895206,33.9314946081582,0.00173792748719805,"logistic",43462,1360,42102,0.0153094123267422,9.20344208734066e-05,0,"",TRUE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"TPRG1L.M2",NA,3.3027092276224,1.13080300704237,27.18619282308,0.00349272829682411,"logistic",43462,1313,42149,0.0153094123267422,9.20344208734066e-05,0,"",TRUE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"TPRG1L.M2",NA,-9.15797697395641,61.1627601140137,0.00010537586067341,0.880976646383842,"logistic",43462,12224,31238,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"TPRG1L.M2",NA,-7.70430930242633,476.194942247987,0.000450880012096042,0.987091670379207,"logistic",43462,122,43340,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"TPRG1L.M2",NA,-7.21196177010259,297.085709738919,0.000737708520463124,0.980632700825276,"logistic",43462,123,43339,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"TPRG1L.M2",NA,-7.35379753419256,175.939325638196,0.000640156721533163,0.966660247735658,"logistic",43462,691,42771,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"TPRG1L.M2",NA,-7.90423849041049,182.823683105951,0.000369175472985077,0.965514830655883,"logistic",43462,712,42750,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"TPRG1L.M2",NA,-8.83430904880819,109.413275693131,0.000145649275502383,0.935646681517566,"logistic",43462,2200,41262,0.0153094123267422,9.20344208734066e-05,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
