"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"TCHP.M2",NA,-0.541918321226306,1.0104073389343,0.58163142559062,0.591726018897936,"logistic",43462,232,43230,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"TCHP.M2",NA,-0.0127915095873753,0.515711801309545,0.987289954053795,0.980211619013264,"logistic",43462,680,42782,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"TCHP.M2",NA,0.323123872671834,0.390356265877119,1.38143646253297,0.407802702598713,"logistic",43462,808,42654,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"TCHP.M2",NA,-0.481951512952856,1.00263127593895,0.617577005524114,0.630739189695001,"logistic",43462,233,43229,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"TCHP.M2",NA,0.0433728873013104,0.180214886300012,1.04432723862112,0.809808437907505,"logistic",43462,6519,36943,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"TCHP.M2",NA,-0.0657199927569805,0.228155536596647,0.936393024415689,0.773309168441452,"logistic",43462,4094,39368,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"TCHP.M2",NA,0.0217668721052889,0.3520570560622,1.02200549870569,0.950700057706825,"logistic",43462,1360,42102,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"TCHP.M2",NA,-0.0703765944972188,0.368130949999859,0.93204275163347,0.848390276844781,"logistic",43462,1313,42149,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"TCHP.M2",NA,-0.150187230554851,0.158806262384451,0.860546840678305,0.344288295784463,"logistic",43462,12224,31238,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"TCHP.M2",NA,0.104339366036827,1.00376404515217,1.10997707952762,0.917210534999752,"logistic",43462,122,43340,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"TCHP.M2",NA,0.187982208809573,0.999821620136568,1.20681204453572,0.850864306970321,"logistic",43462,123,43339,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"TCHP.M2",NA,0.64714105390778,0.368043104313199,1.91007222199747,0.0786914581241796,"logistic",43462,691,42771,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"TCHP.M2",NA,0.0601652805236316,0.456600756948598,1.06201206195002,0.895167950585095,"logistic",43462,712,42750,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
454.1,"TCHP.M2",NA,-0.523867651959052,0.340262832743686,0.592225590317675,0.123658606126211,"logistic",43462,2200,41262,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Peripheral venous and lymphatic disease",8,"Circulatory system","red",NA,"14"
402,"TCHP.M2",NA,-0.188414157643338,1.00092973919668,0.828271601173201,0.850689188192079,"logistic",43462,167,43295,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Portal hypertension",8,"Circulatory system","red",NA,"15"
415.2,"TCHP.M2",NA,0.161695953436649,1.00536180698441,1.17550277940093,0.872224464888978,"logistic",43462,131,43331,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Pulmonary hypertension",8,"Circulatory system","red",NA,"16"
394,"TCHP.M2",NA,-0.333847751913558,1.00072119666006,0.71616280834464,0.738676017975942,"logistic",43462,211,43251,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Rheumatic valve disorder",8,"Circulatory system","red",NA,"17"
430.1,"TCHP.M2",NA,-12.4862904976709,369.381350257857,3.77809555141484e-06,0.973034043505172,"logistic",43462,109,43353,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Subarachnoid haemorrhage",8,"Circulatory system","red",NA,"18"
430.3,"TCHP.M2",NA,0.316597660110088,0.994851208955705,1.37245026933595,0.750305781592909,"logistic",43462,121,43341,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Subdural haematoma",8,"Circulatory system","red",NA,"19"
427.11,"TCHP.M2",NA,-12.3689787141862,219.501511397828,4.24835497702436e-06,0.955062739068885,"logistic",43462,276,43186,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Supraventricular tachycardia",8,"Circulatory system","red",NA,"20"
452,"TCHP.M2",NA,-0.0849672409417563,0.449559269669952,0.918542374491738,0.850091877144016,"logistic",43462,843,42619,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Venous thromboembolism",8,"Circulatory system","red",NA,"21"
747,"TCHP.M2",NA,0.529426032842132,0.44688200026097,1.69795745706311,0.236131721645348,"logistic",43462,442,43020,0.999999035454587,0.0034282821775344,0,"",FALSE,FALSE,FALSE,"Congenital cardiac disease",15,"Congenital anomalies","mediumspringgreen",NA,"22"
