"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"chr10_37952893_T_C_C",NA,-7.49191411797443,268.991380711992,0.000557574674686206,0.977780292297256,"logistic",43462,232,43230,0.0172230062621416,0.000103538723482582,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"chr10_37952893_T_C_C",NA,-8.64633951737683,167.696461798365,0.000175769071649053,0.958879720191484,"logistic",43462,680,42782,0.0172230062621416,0.000103538723482582,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"chr10_37952893_T_C_C",NA,-8.82694025701474,171.696996394292,0.000146726498730921,0.958998827266446,"logistic",43462,808,42654,0.0172230062621416,0.000103538723482582,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"chr10_37952893_T_C_C",NA,-8.53339921354751,286.293180665778,0.000196784917786325,0.97622137057556,"logistic",43462,233,43229,0.0172230062621416,0.000103538723482582,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"chr10_37952893_T_C_C",NA,0.953045722457583,0.850141560964676,2.59359701855038,0.262269320842421,"logistic",43462,6519,36943,0.0172230062621416,0.000103538723482582,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"chr10_37952893_T_C_C",NA,0.976978558832016,1.11574281186037,2.65641789396274,0.381230879228324,"logistic",43462,4094,39368,0.0172230062621416,0.000103538723482582,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"chr10_37952893_T_C_C",NA,-9.26979780776032,168.486390655164,9.42275639961418e-05,0.956124059436037,"logistic",43462,1360,42102,0.0172230062621416,0.000103538723482582,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"chr10_37952893_T_C_C",NA,-9.42762943480949,169.680488041627,8.04697327593115e-05,0.955691478394405,"logistic",43462,1313,42149,0.0172230062621416,0.000103538723482582,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"chr10_37952893_T_C_C",NA,1.0178918362112,0.809184885720268,2.76735457338574,0.208419802703603,"logistic",43462,12224,31238,0.0172230062621416,0.000103538723482582,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"chr10_37952893_T_C_C",NA,-8.83683047765682,457.637385247772,0.000145282493818629,0.98459406356726,"logistic",43462,122,43340,0.0172230062621416,0.000103538723482582,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
