"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"chr2_26483503_G_A_A",NA,-9.48882754420968,369.100272323665,7.56927977382984e-05,0.979490247766498,"logistic",43462,232,43230,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"chr2_26483503_G_A_A",NA,-9.51515212946127,238.707561265592,7.37262145410318e-05,0.968203843571079,"logistic",43462,680,42782,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"chr2_26483503_G_A_A",NA,-9.07790969933699,146.008155927975,0.000114159986923966,0.950424274982827,"logistic",43462,808,42654,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"chr2_26483503_G_A_A",NA,-8.96445926758099,241.491669929267,0.000127874752704247,0.970388372846758,"logistic",43462,233,43229,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"chr2_26483503_G_A_A",NA,-0.434572695067459,1.08279008197455,0.647541305563222,0.688165926340841,"logistic",43462,6519,36943,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"chr2_26483503_G_A_A",NA,0.205162253731726,1.11273168775239,1.22772425164471,0.853717624885627,"logistic",43462,4094,39368,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"chr2_26483503_G_A_A",NA,-9.52574787542347,143.386094300786,7.29491543372799e-05,0.947032101532797,"logistic",43462,1360,42102,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"chr2_26483503_G_A_A",NA,-9.65693544906866,144.623297385854,6.39802926691332e-05,0.946762396213514,"logistic",43462,1313,42149,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"chr2_26483503_G_A_A",NA,1.4014558706763,0.739541808722227,4.06110811326795,0.0580880767651717,"logistic",43462,12224,31238,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"chr2_26483503_G_A_A",NA,-9.52548308893203,388.413517058122,7.29684728454374e-05,0.980434578637502,"logistic",43462,122,43340,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"chr2_26483503_G_A_A",NA,-9.33194612176536,397.120706817999,8.85497407233298e-05,0.981252222828484,"logistic",43462,123,43339,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"chr2_26483503_G_A_A",NA,-9.89650114034082,236.539563214572,5.03505437053405e-05,0.966627306394341,"logistic",43462,691,42771,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"chr2_26483503_G_A_A",NA,-9.01851310176925,147.155673391008,0.000121146124344164,0.951131816337216,"logistic",43462,712,42750,0.0229634136505232,0.00013805163131011,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
