"phenotype","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","p.value","bonferroni","fdr","description","groupnum","group","color","X","order_num"
442.1,"chr7_157604033_C_T_T",NA,1.3014827416886,1.07060736971167,3.67474132226687,0.224118672751638,"logistic",43462,232,43230,0.0478255349128643,0.000287607565229396,0,"",FALSE,FALSE,FALSE,"Aortic aneurysm",8,"Circulatory system","red",NA,"1"
427.2,"chr7_157604033_C_T_T",NA,-10.6276832412086,163.026330938786,2.42357136696603e-05,0.948022739020865,"logistic",43462,680,42782,0.0478255349128643,0.000287607565229396,0,"",FALSE,FALSE,FALSE,"Atrial fibrillation and flutter",8,"Circulatory system","red",NA,"2"
426,"chr7_157604033_C_T_T",NA,-10.9016665987423,165.089793072328,1.8427497146329e-05,0.947350142994606,"logistic",43462,808,42654,0.0478255349128643,0.000287607565229396,0,"",FALSE,FALSE,FALSE,"Cardiac conduction defects",8,"Circulatory system","red",NA,"3"
425,"chr7_157604033_C_T_T",NA,-10.7150443970919,275.646552461565,2.2208301510024e-05,0.968992117632525,"logistic",43462,233,43229,0.0478255349128643,0.000287607565229396,0,"",FALSE,FALSE,FALSE,"Cardiomyopathy",8,"Circulatory system","red",NA,"4"
421,"chr7_157604033_C_T_T",NA,0.188677062844169,0.53522028693045,1.20765089415913,0.724446630720212,"logistic",43462,6519,36943,0.0478255349128643,0.000287607565229396,0,"",FALSE,FALSE,FALSE,"Cardiovascular disease",8,"Circulatory system","red",NA,"5"
411,"chr7_157604033_C_T_T",NA,0.355667820994783,0.59028761961943,1.42713340576307,0.546819346479782,"logistic",43462,4094,39368,0.0478255349128643,0.000287607565229396,0,"",FALSE,FALSE,FALSE,"Coronary heart disease",8,"Circulatory system","red",NA,"6"
428,"chr7_157604033_C_T_T",NA,-0.23522104268908,1.05464296478396,0.790396119034397,0.823509189613012,"logistic",43462,1360,42102,0.0478255349128643,0.000287607565229396,0,"",FALSE,FALSE,FALSE,"Heart failure",8,"Circulatory system","red",NA,"7"
395,"chr7_157604033_C_T_T",NA,-11.4397848549799,163.851451867242,1.07588180600979e-05,0.944338499863163,"logistic",43462,1313,42149,0.0478255349128643,0.000287607565229396,0,"",FALSE,FALSE,FALSE,"Non-rheumatic valvular heart disease",8,"Circulatory system","red",NA,"8"
401,"chr7_157604033_C_T_T",NA,0.589338940582667,0.508580681989345,1.80279626595132,0.246541207737534,"logistic",43462,12224,31238,0.0478255349128643,0.000287607565229396,0,"",FALSE,FALSE,FALSE,"Hypertension",8,"Circulatory system","red",NA,"9"
425.1,"chr7_157604033_C_T_T",NA,-11.2869981931348,445.112126578765,1.25348449833613e-05,0.979769689427481,"logistic",43462,122,43340,0.0478255349128643,0.000287607565229396,0,"",FALSE,FALSE,FALSE,"Hypertrophic cardiomyopathy",8,"Circulatory system","red",NA,"10"
430.2,"chr7_157604033_C_T_T",NA,2.24377233745782,1.05143646226364,9.42883302307497,0.0328422415320916,"logistic",43462,123,43339,0.0478255349128643,0.000287607565229396,0,"",TRUE,FALSE,FALSE,"Intracerebral haemorrhage",8,"Circulatory system","red",NA,"11"
433.2,"chr7_157604033_C_T_T",NA,-10.7938489755144,163.338476330644,2.05253679572592e-05,0.947311977095165,"logistic",43462,691,42771,0.0478255349128643,0.000287607565229396,0,"",FALSE,FALSE,FALSE,"Ischemic stroke",8,"Circulatory system","red",NA,"12"
443,"chr7_157604033_C_T_T",NA,0.484337616811871,1.04545990875867,1.62309953884974,0.643165770290233,"logistic",43462,712,42750,0.0478255349128643,0.000287607565229396,0,"",FALSE,FALSE,FALSE,"Peripheral arterial disease",8,"Circulatory system","red",NA,"13"
